channel_id,branch_id,period_id,incident_id,thread_ts,severity,message_count
CH-008,BR-011,2026-M12,INC-000070,2026-12-19 15:50:00,high,40
CH-007,BR-011,2026-M12,INC-000071,2026-12-10 12:50:00,medium,27
CH-007,BR-012,2026-M01,INC-000072,2026-01-08 20:08:00,low,15
CH-007,BR-012,2026-M02,INC-000073,2026-02-25 20:50:00,high,50
CH-007,BR-012,2026-M03,INC-000074,2026-03-20 16:48:00,medium,21
CH-007,BR-012,2026-M05,INC-000075,2026-05-02 15:25:00,high,50
CH-007,BR-012,2026-M07,INC-000076,2026-07-07 08:03:00,high,30
CH-008,BR-012,2026-M09,INC-000077,2026-09-13 04:39:00,high,51
CH-007,BR-012,2026-M10,INC-000078,2026-10-05 09:38:00,medium,19
CH-007,BR-012,2026-M12,INC-000079,2026-12-05 03:40:00,medium,19
