employee_id,period_id,branch_id,base_pay_usd,bonus_pay_usd,total_pay_usd
EMP-000005,2025-M01,BR-001,2022.93,13.42,2036.35
EMP-000005,2025-M02,BR-001,2062.13,11.9,2074.03
EMP-000005,2025-M03,BR-001,2091.94,51.47,2143.41
EMP-000005,2025-M04,BR-001,2071.18,14.66,2085.84
EMP-000005,2025-M05,BR-001,2057.35,18.58,2075.93
EMP-000005,2025-M06,BR-001,2059.15,66.8,2125.95
EMP-000005,2025-M07,BR-001,2047.78,13.96,2061.74
EMP-000005,2025-M08,BR-001,2001.19,15.48,2016.67
EMP-000005,2025-M09,BR-001,2079.06,58.73,2137.79
EMP-000005,2025-M10,BR-001,2000.21,18.0,2018.21
EMP-000005,2025-M11,BR-001,2033.01,16.45,2049.46
EMP-000005,2025-M12,BR-001,2086.54,67.73,2154.27
EMP-000005,2026-M01,BR-001,1951.52,16.17,1967.69
EMP-000005,2026-M02,BR-001,2010.1,13.87,2023.97
EMP-000005,2026-M03,BR-001,2082.04,52.07,2134.11
EMP-000005,2026-M04,BR-001,2052.89,12.57,2065.46
EMP-000005,2026-M05,BR-001,1983.51,14.19,1997.7
EMP-000005,2026-M06,BR-001,2011.58,39.07,2050.65
EMP-000005,2026-M07,BR-001,2029.68,11.41,2041.09
EMP-000005,2026-M08,BR-001,2036.54,14.21,2050.75
EMP-000005,2026-M09,BR-001,2106.46,49.73,2156.19
EMP-000005,2026-M10,BR-001,1997.23,19.09,2016.32
EMP-000005,2026-M11,BR-001,2096.74,19.52,2116.26
EMP-000005,2026-M12,BR-001,2116.94,74.96,2191.9
EMP-000006,2025-M01,BR-001,6795.94,224.37,7020.31
EMP-000006,2025-M02,BR-001,6837.91,258.31,7096.22
EMP-000006,2025-M03,BR-001,7061.06,1071.42,8132.48
EMP-000006,2025-M04,BR-001,7009.81,225.07,7234.88
EMP-000006,2025-M05,BR-001,6913.57,249.84,7163.41
EMP-000006,2025-M06,BR-001,6777.07,778.82,7555.89
EMP-000006,2025-M07,BR-001,6925.01,248.42,7173.43
EMP-000006,2025-M08,BR-001,6768.25,204.12,6972.37
EMP-000006,2025-M09,BR-001,7077.45,929.7,8007.15
EMP-000006,2025-M10,BR-001,6863.51,182.69,7046.2
EMP-000006,2025-M11,BR-001,6720.26,235.1,6955.36
EMP-000006,2025-M12,BR-001,6678.37,641.36,7319.73
EMP-000006,2026-M01,BR-001,6996.63,161.15,7157.78
EMP-000006,2026-M02,BR-001,6835.66,203.1,7038.76
EMP-000006,2026-M03,BR-001,6968.14,684.51,7652.65
EMP-000006,2026-M04,BR-001,6943.74,171.46,7115.2
EMP-000006,2026-M05,BR-001,6823.51,225.37,7048.88
EMP-000006,2026-M06,BR-001,6832.64,1003.11,7835.75
EMP-000006,2026-M07,BR-001,6795.48,189.96,6985.44
EMP-000006,2026-M08,BR-001,6903.26,143.81,7047.07
EMP-000006,2026-M09,BR-001,7075.75,891.23,7966.98
EMP-000006,2026-M10,BR-001,6719.29,244.97,6964.26
EMP-000006,2026-M11,BR-001,6876.04,257.57,7133.61
EMP-000006,2026-M12,BR-001,7060.41,915.62,7976.03
EMP-000007,2025-M01,BR-002,8917.97,321.51,9239.48
EMP-000007,2025-M02,BR-002,8910.5,425.55,9336.05
EMP-000007,2025-M03,BR-002,9037.2,1142.03,10179.23
EMP-000007,2025-M04,BR-002,8822.68,417.3,9239.98
EMP-000007,2025-M05,BR-002,9087.11,351.59,9438.7
EMP-000007,2025-M06,BR-002,9380.73,1322.18,10702.91
EMP-000007,2025-M07,BR-002,8917.5,339.68,9257.18
EMP-000007,2025-M08,BR-002,9167.46,373.49,9540.95
EMP-000007,2025-M09,BR-002,9304.55,1195.0,10499.55
EMP-000007,2025-M10,BR-002,8929.7,415.92,9345.62
EMP-000007,2025-M11,BR-002,9139.57,507.38,9646.95
EMP-000007,2025-M12,BR-002,9491.43,1353.44,10844.87
EMP-000007,2026-M01,BR-002,9231.88,309.04,9540.92
EMP-000007,2026-M02,BR-002,9118.57,375.57,9494.14
EMP-000007,2026-M03,BR-002,9531.06,2547.7,12078.76
EMP-000007,2026-M04,BR-002,9346.35,338.27,9684.62
EMP-000007,2026-M05,BR-002,8984.78,397.72,9382.5
EMP-000007,2026-M06,BR-002,9359.87,1593.32,10953.19
EMP-000007,2026-M07,BR-002,9627.81,400.91,10028.72
EMP-000007,2026-M08,BR-002,9465.72,418.9,9884.62
EMP-000007,2026-M09,BR-002,9794.16,1985.62,11779.78
EMP-000007,2026-M10,BR-002,9504.44,381.47,9885.91
EMP-000007,2026-M11,BR-002,9461.61,355.2,9816.81
EMP-000007,2026-M12,BR-002,9482.02,1481.51,10963.53
EMP-000008,2025-M01,BR-002,5271.1,113.74,5384.84
EMP-000008,2025-M02,BR-002,5401.52,108.1,5509.62
EMP-000008,2025-M03,BR-002,5373.92,345.93,5719.85
EMP-000008,2025-M04,BR-002,5450.5,50.84,5501.34
EMP-000008,2025-M05,BR-002,5371.76,89.54,5461.3
EMP-000008,2025-M06,BR-002,5362.47,501.83,5864.3
EMP-000008,2025-M07,BR-002,5303.09,85.93,5389.02
EMP-000008,2025-M08,BR-002,5372.3,107.86,5480.16
EMP-000008,2025-M09,BR-002,5380.63,293.76,5674.39
EMP-000008,2025-M10,BR-002,5288.37,84.22,5372.59
EMP-000008,2025-M11,BR-002,5352.79,77.81,5430.6
EMP-000008,2025-M12,BR-002,5498.31,500.47,5998.78
EMP-000008,2026-M01,BR-002,5375.06,112.4,5487.46
EMP-000008,2026-M02,BR-002,5245.54,72.56,5318.1
EMP-000008,2026-M03,BR-002,5437.67,390.74,5828.41
EMP-000008,2026-M04,BR-002,5305.14,86.3,5391.44
EMP-000008,2026-M05,BR-002,5378.9,96.6,5475.5
EMP-000008,2026-M06,BR-002,5414.1,374.92,5789.02
EMP-000008,2026-M07,BR-002,5247.4,67.99,5315.39
EMP-000008,2026-M08,BR-002,5362.65,70.94,5433.59
EMP-000008,2026-M09,BR-002,5469.72,356.37,5826.09
EMP-000008,2026-M10,BR-002,5265.91,101.45,5367.36
EMP-000008,2026-M11,BR-002,5348.43,116.38,5464.81
EMP-000008,2026-M12,BR-002,5616.77,302.02,5918.79
EMP-000009,2025-M01,BR-002,5552.73,63.4,5616.13
EMP-000009,2025-M02,BR-002,5392.55,60.51,5453.06
EMP-000009,2025-M03,BR-002,5631.25,261.86,5893.11
EMP-000009,2025-M04,BR-002,5415.45,51.39,5466.84
EMP-000009,2025-M05,BR-002,5281.32,70.97,5352.29
EMP-000009,2025-M06,BR-002,5765.28,127.94,5893.22
EMP-000009,2025-M07,BR-002,5441.83,40.93,5482.76
EMP-000009,2025-M08,BR-002,5549.23,38.74,5587.97
EMP-000009,2025-M09,BR-002,5526.51,197.97,5724.48
EMP-000009,2025-M10,BR-002,5486.38,51.62,5538.0
EMP-000009,2025-M11,BR-002,5651.53,62.12,5713.65
EMP-000009,2025-M12,BR-002,5675.74,243.85,5919.59
EMP-000009,2026-M01,BR-002,5657.11,68.99,5726.1
EMP-000009,2026-M02,BR-002,5550.12,63.15,5613.27
EMP-000009,2026-M03,BR-002,5664.62,187.76,5852.38
EMP-000009,2026-M04,BR-002,5656.61,58.05,5714.66
EMP-000009,2026-M05,BR-002,5526.59,45.38,5571.97
EMP-000009,2026-M06,BR-002,5756.11,300.29,6056.4
EMP-000009,2026-M07,BR-002,5636.83,56.8,5693.63
EMP-000009,2026-M08,BR-002,5514.98,60.02,5575.0
EMP-000009,2026-M09,BR-002,5884.72,226.91,6111.63
EMP-000009,2026-M10,BR-002,5792.37,51.57,5843.94
EMP-000009,2026-M11,BR-002,5658.5,65.5,5724.0
EMP-000009,2026-M12,BR-002,5783.67,232.87,6016.54
EMP-000010,2025-M01,BR-002,5590.61,95.35,5685.96
EMP-000010,2025-M02,BR-002,5649.8,101.3,5751.1
EMP-000010,2025-M03,BR-002,5710.5,299.84,6010.34
EMP-000010,2025-M04,BR-002,5559.83,76.64,5636.47
EMP-000010,2025-M05,BR-002,5387.45,75.04,5462.49
EMP-000010,2025-M06,BR-002,5642.43,339.84,5982.27
EMP-000010,2025-M07,BR-002,5562.9,71.69,5634.59
EMP-000010,2025-M08,BR-002,5504.88,76.22,5581.1
EMP-000010,2025-M09,BR-002,5740.03,257.27,5997.3
EMP-000010,2025-M10,BR-002,5610.41,50.48,5660.89
EMP-000010,2025-M11,BR-002,5708.91,94.82,5803.73
EMP-000010,2025-M12,BR-002,5626.05,306.4,5932.45
EMP-000010,2026-M01,BR-002,5810.65,82.12,5892.77
EMP-000010,2026-M02,BR-002,5765.48,96.69,5862.17
EMP-000010,2026-M03,BR-002,5769.04,351.74,6120.78
EMP-000010,2026-M04,BR-002,5775.33,57.21,5832.54
EMP-000010,2026-M05,BR-002,5613.42,70.43,5683.85
EMP-000010,2026-M06,BR-002,5842.07,346.69,6188.76
EMP-000010,2026-M07,BR-002,5676.55,90.08,5766.63
EMP-000010,2026-M08,BR-002,5617.3,76.99,5694.29
EMP-000010,2026-M09,BR-002,5632.25,338.4,5970.65
EMP-000010,2026-M10,BR-002,5624.8,83.99,5708.79
EMP-000010,2026-M11,BR-002,5587.35,84.77,5672.12
EMP-000010,2026-M12,BR-002,5755.72,342.79,6098.51
EMP-000011,2025-M05,BR-002,1891.01,9.6,1900.61
EMP-000011,2025-M06,BR-002,1948.09,63.06,2011.15
EMP-000011,2025-M07,BR-002,1920.71,16.97,1937.68
EMP-000011,2025-M08,BR-002,1916.63,10.84,1927.47
EMP-000011,2025-M09,BR-002,1941.72,54.9,1996.62
EMP-000011,2025-M10,BR-002,1914.27,15.87,1930.14
EMP-000011,2025-M11,BR-002,1950.35,12.17,1962.52
EMP-000011,2025-M12,BR-002,2010.21,49.63,2059.84
EMP-000011,2026-M01,BR-002,1883.68,16.91,1900.59
EMP-000011,2026-M02,BR-002,1960.76,10.75,1971.51
EMP-000011,2026-M03,BR-002,1970.29,55.96,2026.25
EMP-000011,2026-M04,BR-002,1927.29,14.37,1941.66
EMP-000011,2026-M05,BR-002,1962.75,11.64,1974.39
EMP-000011,2026-M06,BR-002,1980.0,43.75,2023.75
EMP-000011,2026-M07,BR-002,1948.99,15.28,1964.27
EMP-000011,2026-M08,BR-002,1973.95,15.06,1989.01
EMP-000011,2026-M09,BR-002,1956.6,72.58,2029.18
EMP-000011,2026-M10,BR-002,1975.77,13.24,1989.01
EMP-000011,2026-M11,BR-002,2020.1,13.12,2033.22
EMP-000011,2026-M12,BR-002,2029.09,47.27,2076.36
EMP-000012,2025-M01,BR-002,6309.43,39.88,6349.31
EMP-000012,2025-M02,BR-002,6343.93,56.81,6400.74
EMP-000012,2025-M03,BR-002,6329.31,222.18,6551.49
EMP-000012,2025-M04,BR-002,6312.53,42.09,6354.62
EMP-000012,2025-M05,BR-002,6336.16,39.35,6375.51
EMP-000012,2025-M06,BR-002,6478.87,105.42,6584.29
EMP-000012,2025-M07,BR-002,6389.54,40.34,6429.88
EMP-000012,2025-M08,BR-002,6299.3,41.82,6341.12
EMP-000012,2025-M09,BR-002,6459.59,186.02,6645.61
EMP-000012,2025-M10,BR-002,6079.38,52.84,6132.22
EMP-000012,2025-M11,BR-002,6431.26,43.13,6474.39
EMP-000012,2025-M12,BR-002,6530.39,129.6,6659.99
EMP-000012,2026-M01,BR-002,6351.88,44.81,6396.69
EMP-000012,2026-M02,BR-002,6382.77,47.68,6430.45
EMP-000012,2026-M03,BR-002,6562.5,250.41,6812.91
EMP-000012,2026-M04,BR-002,6296.09,39.15,6335.24
EMP-000012,2026-M05,BR-002,6204.36,38.97,6243.33
EMP-000012,2026-M06,BR-002,6417.82,199.35,6617.17
EMP-000012,2026-M07,BR-002,6451.2,43.5,6494.7
EMP-000012,2026-M08,BR-002,6353.61,43.53,6397.14
EMP-000012,2026-M09,BR-002,6408.47,224.54,6633.01
EMP-000012,2026-M10,BR-002,6311.95,22.28,6334.23
EMP-000012,2026-M11,BR-002,6215.47,44.31,6259.78
EMP-000012,2026-M12,BR-002,6505.16,194.75,6699.91
EMP-000013,2025-M01,BR-003,9798.67,387.47,10186.14
EMP-000013,2025-M02,BR-003,9788.08,386.38,10174.46
EMP-000013,2025-M03,BR-003,9734.23,1835.17,11569.4
EMP-000013,2025-M04,BR-003,9931.51,387.48,10318.99
EMP-000013,2025-M05,BR-003,9726.47,489.63,10216.1
EMP-000013,2025-M06,BR-003,9806.53,1653.26,11459.79
EMP-000013,2025-M07,BR-003,9967.22,434.25,10401.47
EMP-000013,2025-M08,BR-003,9797.98,423.64,10221.62
EMP-000013,2025-M09,BR-003,9822.4,2060.75,11883.15
EMP-000013,2025-M10,BR-003,10067.77,492.8,10560.57
EMP-000013,2025-M11,BR-003,9816.83,483.24,10300.07
EMP-000013,2025-M12,BR-003,10035.66,1334.04,11369.7
EMP-000013,2026-M01,BR-003,9926.34,462.05,10388.39
EMP-000013,2026-M02,BR-003,9995.15,342.51,10337.66
EMP-000013,2026-M03,BR-003,9742.35,1366.54,11108.89
EMP-000013,2026-M04,BR-003,9853.75,444.27,10298.02
EMP-000013,2026-M05,BR-003,9892.97,355.42,10248.39
EMP-000013,2026-M06,BR-003,10021.83,1281.98,11303.81
EMP-000013,2026-M07,BR-003,9909.09,356.63,10265.72
EMP-000013,2026-M08,BR-003,9830.76,380.94,10211.7
EMP-000013,2026-M09,BR-003,9807.32,1708.48,11515.8
EMP-000013,2026-M10,BR-003,9625.68,480.16,10105.84
EMP-000013,2026-M11,BR-003,9855.84,345.3,10201.14
EMP-000013,2026-M12,BR-003,9972.87,1878.73,11851.6
EMP-000014,2025-M01,BR-003,5263.4,87.27,5350.67
EMP-000014,2025-M02,BR-003,5267.84,91.75,5359.59
EMP-000014,2025-M03,BR-003,5259.05,389.36,5648.41
EMP-000014,2025-M04,BR-003,5191.92,106.58,5298.5
EMP-000014,2025-M05,BR-003,5424.59,85.01,5509.6
EMP-000014,2025-M06,BR-003,5433.71,383.31,5817.02
EMP-000014,2025-M07,BR-003,5263.7,69.36,5333.06
EMP-000014,2025-M08,BR-003,5430.68,122.95,5553.63
EMP-000014,2025-M09,BR-003,5455.87,354.79,5810.66
EMP-000014,2025-M10,BR-003,5348.91,113.1,5462.01
EMP-000014,2025-M11,BR-003,5316.46,120.8,5437.26
EMP-000014,2025-M12,BR-003,5541.05,546.2,6087.25
EMP-000014,2026-M01,BR-003,5387.0,95.1,5482.1
EMP-000014,2026-M02,BR-003,5409.7,95.48,5505.18
EMP-000014,2026-M03,BR-003,5661.44,409.84,6071.28
EMP-000014,2026-M04,BR-003,5465.72,87.36,5553.08
EMP-000014,2026-M05,BR-003,5392.63,128.61,5521.24
EMP-000014,2026-M06,BR-003,5476.18,484.4,5960.58
EMP-000014,2026-M07,BR-003,5358.19,61.57,5419.76
EMP-000014,2026-M08,BR-003,5355.21,115.14,5470.35
EMP-000014,2026-M09,BR-003,5480.72,409.67,5890.39
EMP-000014,2026-M10,BR-003,5599.65,103.94,5703.59
EMP-000014,2026-M11,BR-003,5483.88,88.43,5572.31
EMP-000014,2026-M12,BR-003,5604.57,626.94,6231.51
EMP-000015,2025-M01,BR-003,5912.14,70.27,5982.41
EMP-000015,2025-M02,BR-003,5820.75,47.03,5867.78
EMP-000015,2025-M03,BR-003,6056.96,229.68,6286.64
EMP-000015,2025-M04,BR-003,5843.19,68.81,5912.0
EMP-000015,2025-M05,BR-003,6038.29,63.12,6101.41
EMP-000015,2025-M06,BR-003,6071.04,171.58,6242.62
EMP-000015,2025-M07,BR-003,6030.61,75.7,6106.31
EMP-000015,2025-M08,BR-003,5848.84,71.61,5920.45
EMP-000015,2025-M09,BR-003,6122.25,231.32,6353.57
EMP-000015,2025-M10,BR-003,6111.01,59.81,6170.82
EMP-000015,2025-M11,BR-003,6082.88,52.7,6135.58
EMP-000015,2025-M12,BR-003,6033.29,180.73,6214.02
EMP-000015,2026-M01,BR-003,5873.84,59.6,5933.44
EMP-000015,2026-M02,BR-003,6010.99,64.86,6075.85
EMP-000015,2026-M03,BR-003,6252.64,279.45,6532.09
EMP-000015,2026-M04,BR-003,6022.16,69.6,6091.76
EMP-000015,2026-M05,BR-003,6020.31,67.64,6087.95
EMP-000015,2026-M06,BR-003,5937.31,211.8,6149.11
EMP-000015,2026-M07,BR-003,5765.15,64.03,5829.18
EMP-000015,2026-M08,BR-003,5819.1,45.22,5864.32
EMP-000015,2026-M09,BR-003,6161.53,267.8,6429.33
EMP-000015,2026-M10,BR-003,5869.27,67.34,5936.61
EMP-000015,2026-M11,BR-003,6047.64,77.8,6125.44
EMP-000015,2026-M12,BR-003,6101.75,270.53,6372.28
EMP-000016,2025-M01,BR-003,5641.46,94.69,5736.15
EMP-000016,2025-M02,BR-003,5711.64,83.03,5794.67
EMP-000016,2025-M03,BR-003,5643.35,245.89,5889.24
EMP-000016,2025-M04,BR-003,5835.53,80.75,5916.28
EMP-000016,2025-M05,BR-003,5747.75,70.59,5818.34
EMP-000016,2025-M06,BR-003,5824.53,393.19,6217.72
EMP-000016,2025-M07,BR-003,5818.36,57.06,5875.42
EMP-000016,2025-M08,BR-003,5750.71,89.93,5840.64
EMP-000016,2025-M09,BR-003,5856.04,269.47,6125.51
EMP-000016,2025-M10,BR-003,5704.71,67.21,5771.92
EMP-000016,2025-M11,BR-003,5856.34,80.15,5936.49
EMP-000016,2025-M12,BR-003,5768.71,212.26,5980.97
EMP-000016,2026-M01,BR-003,5739.69,106.15,5845.84
EMP-000016,2026-M02,BR-003,5832.99,66.8,5899.79
EMP-000016,2026-M03,BR-003,5883.41,353.07,6236.48
EMP-000016,2026-M04,BR-003,5801.43,81.52,5882.95
EMP-000016,2026-M05,BR-003,5832.92,76.55,5909.47
EMP-000016,2026-M06,BR-003,6013.35,387.22,6400.57
EMP-000016,2026-M07,BR-003,5780.35,76.95,5857.3
EMP-000016,2026-M08,BR-003,5776.65,51.43,5828.08
EMP-000016,2026-M09,BR-003,5902.07,332.65,6234.72
EMP-000016,2026-M10,BR-003,5729.3,70.25,5799.55
EMP-000016,2026-M11,BR-003,5714.31,76.09,5790.4
EMP-000016,2026-M12,BR-003,5823.73,415.94,6239.67
EMP-000017,2025-M01,BR-003,2143.1,14.77,2157.87
EMP-000017,2025-M02,BR-003,2131.73,17.39,2149.12
EMP-000017,2025-M03,BR-003,2162.77,83.37,2246.14
EMP-000017,2025-M04,BR-003,2135.57,12.75,2148.32
EMP-000017,2025-M05,BR-003,2112.37,14.05,2126.42
EMP-000017,2025-M06,BR-003,2211.92,62.57,2274.49
EMP-000017,2025-M07,BR-003,2104.41,17.54,2121.95
EMP-000017,2025-M08,BR-003,2081.71,11.07,2092.78
EMP-000017,2025-M09,BR-003,2150.39,68.35,2218.74
EMP-000017,2025-M10,BR-003,2121.93,12.64,2134.57
EMP-000017,2025-M11,BR-003,2115.32,19.44,2134.76
EMP-000017,2025-M12,BR-003,2118.58,65.51,2184.09
EMP-000017,2026-M01,BR-003,2067.52,11.56,2079.08
EMP-000017,2026-M02,BR-003,2097.73,17.37,2115.1
EMP-000017,2026-M03,BR-003,2185.79,58.91,2244.7
EMP-000017,2026-M04,BR-003,2145.31,13.48,2158.79
EMP-000017,2026-M05,BR-003,2060.67,14.23,2074.9
EMP-000017,2026-M06,BR-003,2185.61,53.57,2239.18
EMP-000017,2026-M07,BR-003,2089.98,16.06,2106.04
EMP-000017,2026-M08,BR-003,2141.95,10.15,2152.1
EMP-000017,2026-M09,BR-003,2188.26,75.66,2263.92
EMP-000017,2026-M10,BR-003,2129.29,14.52,2143.81
EMP-000017,2026-M11,BR-003,2113.1,9.26,2122.36
EMP-000017,2026-M12,BR-003,2143.35,50.33,2193.68
EMP-000018,2025-M01,BR-003,6391.67,96.14,6487.81
EMP-000018,2025-M02,BR-003,6450.79,135.3,6586.09
EMP-000018,2025-M03,BR-003,6574.75,600.51,7175.26
EMP-000018,2025-M04,BR-003,6385.04,140.39,6525.43
EMP-000018,2025-M05,BR-003,6445.36,143.37,6588.73
EMP-000018,2025-M06,BR-003,6374.31,505.2,6879.51
EMP-000018,2025-M07,BR-003,6430.05,145.85,6575.9
EMP-000018,2025-M08,BR-003,6458.38,82.11,6540.49
EMP-000018,2025-M09,BR-003,6777.42,610.03,7387.45
EMP-000018,2025-M10,BR-003,6460.38,74.12,6534.5
EMP-000018,2025-M11,BR-003,6611.92,156.0,6767.92
EMP-000018,2025-M12,BR-003,6786.52,500.29,7286.81
EMP-000018,2026-M01,BR-003,6560.96,126.05,6687.01
EMP-000018,2026-M02,BR-003,6479.71,89.68,6569.39
EMP-000018,2026-M03,BR-003,6647.76,275.41,6923.17
EMP-000018,2026-M04,BR-003,6591.88,149.02,6740.9
EMP-000018,2026-M05,BR-003,6619.89,106.48,6726.37
EMP-000018,2026-M06,BR-003,6975.31,525.51,7500.82
EMP-000018,2026-M07,BR-003,6712.58,109.82,6822.4
EMP-000018,2026-M08,BR-003,6554.64,91.57,6646.21
EMP-000018,2026-M09,BR-003,6996.34,485.06,7481.4
EMP-000018,2026-M10,BR-003,6785.46,126.94,6912.4
EMP-000018,2026-M11,BR-003,6612.56,94.48,6707.04
EMP-000018,2026-M12,BR-003,7015.5,548.8,7564.3
EMP-000019,2025-M12,BR-004,9376.64,1780.66,11157.3
EMP-000019,2026-M01,BR-004,9111.08,307.13,9418.21
EMP-000019,2026-M02,BR-004,9524.0,390.1,9914.1
EMP-000019,2026-M03,BR-004,9274.3,1172.93,10447.23
EMP-000019,2026-M04,BR-004,9222.75,380.07,9602.82
EMP-000019,2026-M05,BR-004,8929.17,392.66,9321.83
EMP-000019,2026-M06,BR-004,9459.39,994.15,10453.54
EMP-000019,2026-M07,BR-004,9234.27,355.91,9590.18
EMP-000019,2026-M08,BR-004,9189.47,398.55,9588.02
EMP-000019,2026-M09,BR-004,9185.03,1220.63,10405.66
EMP-000019,2026-M10,BR-004,9254.74,340.56,9595.3
EMP-000019,2026-M11,BR-004,9246.42,315.03,9561.45
EMP-000019,2026-M12,BR-004,9571.88,1458.16,11030.04
EMP-000020,2025-M01,BR-004,5362.73,82.96,5445.69
EMP-000020,2025-M02,BR-004,5333.45,107.13,5440.58
EMP-000020,2025-M03,BR-004,5283.45,488.43,5771.88
EMP-000020,2025-M04,BR-004,5381.94,115.23,5497.17
