benefit_enrollment_id,employee_id,benefit_plan_id,coverage_tier,enrollment_status,effective_date,employee_monthly_contribution_usd
BENENR-0000186,EMP-000047,BEN-DENTAL,family,active,2019-12-29,29.25
BENENR-0000187,EMP-000047,BEN-VISION,employee_only,active,2019-12-29,5.58
BENENR-0000188,EMP-000047,BEN-401K,employee_only,active,2019-12-29,0.06
BENENR-0000189,EMP-000048,BEN-MED-HSA,family,active,2020-06-30,409.02
BENENR-0000190,EMP-000048,BEN-DENTAL,employee_only,active,2020-06-30,15.33
BENENR-0000191,EMP-000048,BEN-VISION,employee_only,active,2020-06-30,4.81
BENENR-0000192,EMP-000048,BEN-401K,employee_only,active,2020-06-30,0.06
BENENR-0000193,EMP-000049,BEN-MED-HSA,family,active,2023-07-21,416.76
BENENR-0000194,EMP-000049,BEN-DENTAL,employee_only,active,2023-07-21,13.61
BENENR-0000195,EMP-000049,BEN-VISION,employee_only,active,2023-07-21,6.36
BENENR-0000196,EMP-000049,BEN-401K,employee_only,active,2023-07-21,0.06
BENENR-0000197,EMP-000050,BEN-MED-PPO,employee_only,active,2023-02-15,183.06
BENENR-0000198,EMP-000050,BEN-DENTAL,employee_only,active,2023-02-15,12.71
BENENR-0000199,EMP-000050,BEN-VISION,employee_only,active,2023-02-15,4.17
BENENR-0000200,EMP-000050,BEN-401K,employee_only,active,2023-02-15,0.04
BENENR-0000201,EMP-000051,BEN-MED-PPO,employee_spouse,active,2022-12-10,373.75
BENENR-0000202,EMP-000051,BEN-DENTAL,employee_spouse,active,2022-12-10,19.34
BENENR-0000203,EMP-000051,BEN-VISION,employee_only,active,2022-12-10,4.49
BENENR-0000204,EMP-000051,BEN-401K,employee_only,active,2022-12-10,0.04
BENENR-0000205,EMP-000052,BEN-MED-PPO,employee_only,active,2020-12-23,180.09
BENENR-0000206,EMP-000052,BEN-DENTAL,employee_spouse,active,2020-12-23,29.3
BENENR-0000207,EMP-000052,BEN-VISION,employee_only,active,2020-12-23,6.22
BENENR-0000208,EMP-000052,BEN-401K,employee_only,active,2020-12-23,0.04
BENENR-0000209,EMP-000053,BEN-MED-HSA,employee_only,active,2025-10-05,160.84
BENENR-0000210,EMP-000053,BEN-DENTAL,employee_only,active,2025-10-05,17.1
BENENR-0000211,EMP-000053,BEN-VISION,employee_only,active,2025-10-05,5.11
BENENR-0000212,EMP-000053,BEN-401K,employee_only,active,2025-10-05,0.06
BENENR-0000213,EMP-000054,BEN-MED-HSA,family,active,2018-10-14,379.45
BENENR-0000214,EMP-000054,BEN-DENTAL,employee_only,active,2018-10-14,15.16
BENENR-0000215,EMP-000054,BEN-VISION,employee_only,active,2018-10-14,5.36
BENENR-0000216,EMP-000054,BEN-401K,employee_only,active,2018-10-14,0.06
BENENR-0000217,EMP-000055,BEN-MED-HSA,employee_spouse,active,2020-10-28,281.76
BENENR-0000218,EMP-000055,BEN-DENTAL,employee_only,active,2020-10-28,11.53
BENENR-0000219,EMP-000055,BEN-VISION,employee_only,active,2020-10-28,4.15
BENENR-0000220,EMP-000055,BEN-401K,employee_only,active,2020-10-28,0.04
BENENR-0000221,EMP-000056,BEN-MED-HSA,employee_only,active,2019-01-10,143.93
BENENR-0000222,EMP-000056,BEN-DENTAL,family,active,2019-01-10,31.35
BENENR-0000223,EMP-000056,BEN-VISION,employee_only,active,2019-01-10,4.26
BENENR-0000224,EMP-000056,BEN-401K,employee_only,active,2019-01-10,0.03
BENENR-0000225,EMP-000057,BEN-MED-HSA,family,active,2020-10-17,355.39
BENENR-0000226,EMP-000057,BEN-DENTAL,family,active,2020-10-17,36.26
BENENR-0000227,EMP-000057,BEN-VISION,employee_only,active,2020-10-17,4.69
BENENR-0000228,EMP-000057,BEN-401K,employee_only,active,2020-10-17,0.04
BENENR-0000229,EMP-000058,BEN-MED-PPO,employee_only,active,2025-10-11,197.56
BENENR-0000230,EMP-000058,BEN-DENTAL,family,active,2025-10-11,38.62
BENENR-0000231,EMP-000058,BEN-VISION,employee_only,active,2025-10-11,4.71
BENENR-0000232,EMP-000058,BEN-401K,employee_only,active,2025-10-11,0.04
BENENR-0000233,EMP-000059,BEN-MED-HSA,employee_only,active,2021-01-05,113.14
BENENR-0000234,EMP-000059,BEN-DENTAL,employee_spouse,active,2021-01-05,23.07
BENENR-0000235,EMP-000059,BEN-VISION,employee_only,active,2021-01-05,5.89
BENENR-0000236,EMP-000059,BEN-401K,employee_only,active,2021-01-05,0.03
BENENR-0000237,EMP-000060,BEN-MED-PPO,employee_only,active,2025-05-08,198.47
BENENR-0000238,EMP-000060,BEN-DENTAL,employee_spouse,active,2025-05-08,23.26
BENENR-0000239,EMP-000060,BEN-VISION,employee_only,active,2025-05-08,6.37
BENENR-0000240,EMP-000060,BEN-401K,employee_only,active,2025-05-08,0.05
BENENR-0000241,EMP-000061,BEN-MED-PPO,employee_only,active,2022-01-16,194.38
BENENR-0000242,EMP-000061,BEN-DENTAL,family,active,2022-01-16,28.95
BENENR-0000243,EMP-000061,BEN-VISION,employee_only,active,2022-01-16,4.66
BENENR-0000244,EMP-000061,BEN-401K,employee_only,active,2022-01-16,0.03
BENENR-0000245,EMP-000062,BEN-MED-PPO,employee_only,active,2023-09-06,206.9
BENENR-0000246,EMP-000062,BEN-DENTAL,employee_only,active,2023-09-06,14.53
BENENR-0000247,EMP-000062,BEN-VISION,employee_only,active,2023-09-06,4.49
BENENR-0000248,EMP-000062,BEN-401K,employee_only,active,2023-09-06,0.05
BENENR-0000249,EMP-000063,BEN-MED-PPO,employee_spouse,active,2021-09-28,294.02
BENENR-0000250,EMP-000063,BEN-DENTAL,employee_only,active,2021-09-28,12.28
BENENR-0000251,EMP-000063,BEN-VISION,employee_only,active,2021-09-28,4.62
BENENR-0000252,EMP-000063,BEN-401K,employee_only,active,2021-09-28,0.06
BENENR-0000253,EMP-000064,BEN-MED-HSA,employee_only,active,2020-03-17,150.42
BENENR-0000254,EMP-000064,BEN-DENTAL,family,active,2020-03-17,40.74
BENENR-0000255,EMP-000064,BEN-VISION,employee_only,active,2020-03-17,5.44
BENENR-0000256,EMP-000064,BEN-401K,employee_only,active,2020-03-17,0.06
BENENR-0000257,EMP-000065,BEN-MED-HSA,employee_only,active,2024-03-13,138.58
BENENR-0000258,EMP-000065,BEN-DENTAL,employee_only,active,2024-03-13,14.13
BENENR-0000259,EMP-000065,BEN-VISION,employee_only,active,2024-03-13,5.33
BENENR-0000260,EMP-000065,BEN-401K,employee_only,active,2024-03-13,0.06
BENENR-0000261,EMP-000066,BEN-MED-PPO,employee_only,active,2025-11-01,217.62
BENENR-0000262,EMP-000066,BEN-DENTAL,employee_only,active,2025-11-01,13.96
BENENR-0000263,EMP-000066,BEN-VISION,employee_only,active,2025-11-01,5.79
BENENR-0000264,EMP-000066,BEN-401K,employee_only,active,2025-11-01,0.05
BENENR-0000265,EMP-000067,BEN-MED-HSA,employee_only,active,2020-03-11,164.76
BENENR-0000266,EMP-000067,BEN-DENTAL,employee_only,active,2020-03-11,15.3
BENENR-0000267,EMP-000067,BEN-VISION,employee_only,active,2020-03-11,4.68
BENENR-0000268,EMP-000067,BEN-401K,employee_only,active,2020-03-11,0.04
BENENR-0000269,EMP-000068,BEN-MED-PPO,family,active,2024-04-24,403.38
BENENR-0000270,EMP-000068,BEN-DENTAL,family,active,2024-04-24,30.66
BENENR-0000271,EMP-000068,BEN-VISION,employee_only,active,2024-04-24,5.52
BENENR-0000272,EMP-000068,BEN-401K,employee_only,active,2024-04-24,0.04
BENENR-0000273,EMP-000069,BEN-MED-PPO,employee_only,active,2020-03-04,159.06
BENENR-0000274,EMP-000069,BEN-DENTAL,family,active,2020-03-04,30.78
BENENR-0000275,EMP-000069,BEN-VISION,employee_only,active,2020-03-04,5.9
BENENR-0000276,EMP-000069,BEN-401K,employee_only,active,2020-03-04,0.06
BENENR-0000277,EMP-000070,BEN-MED-PPO,employee_spouse,active,2023-10-26,367.27
BENENR-0000278,EMP-000070,BEN-DENTAL,employee_spouse,active,2023-10-26,22.35
BENENR-0000279,EMP-000070,BEN-VISION,employee_only,active,2023-10-26,6.23
BENENR-0000280,EMP-000070,BEN-401K,employee_only,active,2023-10-26,0.03
BENENR-0000281,EMP-000071,BEN-MED-PPO,employee_only,active,2024-05-24,176.51
BENENR-0000282,EMP-000071,BEN-DENTAL,employee_only,active,2024-05-24,13.29
BENENR-0000283,EMP-000071,BEN-VISION,employee_only,active,2024-05-24,5.81
BENENR-0000284,EMP-000071,BEN-401K,employee_only,active,2024-05-24,0.03
BENENR-0000285,EMP-000072,BEN-MED-PPO,employee_only,active,2021-09-05,170.31
BENENR-0000286,EMP-000072,BEN-DENTAL,employee_spouse,active,2021-09-05,20.64
BENENR-0000287,EMP-000072,BEN-VISION,employee_only,active,2021-09-05,4.63
BENENR-0000288,EMP-000072,BEN-401K,employee_only,active,2021-09-05,0.05
