id,customer_id,channel_id,channel_code,channel_name,enrolled_at,enrollment_method,enrolled_by,status,status_reason,status_updated_at,username,alias,two_factor_enabled,auth_method,last_login_at,failed_login_attempts,locked_until,daily_transaction_limit,per_transaction_limit,monthly_transaction_limit,cash_withdrawal_limit,transfer_limit,bill_payment_limit,max_transactions_per_day,ip_whitelist,geo_restriction_flag,ussd_pin_set,ussd_last_access,mobile_app_version,push_notifications_enabled,security_questions_set,password_last_changed,transaction_fee_profile_id,sms_alerts_enabled,email_alerts_enabled,suspicious_activity_flag,last_suspicious_activity_date,created_at,updated_at
CCE-000000011,CUST-000002,CH-004,CH-004,Email,2025-06-16,branch_assisted,system_seed,suspended,Inactivity policy,2026-03-28,user_cust-000002_ch-004,CUST-000002-CH-004,False,otp_email,2026-03-15,3,2026-05-02,1880.76,1427.67,55942.35,951.25,3942.68,5718.06,15,0.0.0.0/0,False,False,2025-07-16,n/a,False,True,2025-10-18,TFP-853,True,True,False,2025-11-14,2025-06-16,2026-04-08
CCE-000000012,CUST-000002,CH-005,CH-005,SMS,2025-06-06,self_service,EMP-000007,active,In good standing.,2026-03-14,user_cust-000002_ch-005,CUST-000002-CH-005,False,password,2026-02-17,0,,8623.97,3425.56,74303.03,722.57,797.41,6229.96,16,0.0.0.0/0,False,True,2025-08-16,n/a,False,True,2025-07-29,TFP-243,False,True,False,2026-02-09,2025-06-06,2026-04-04
CCE-000000013,CUST-000002,CH-006,CH-006,Call Center,2025-06-06,call_center,system_seed,active,In good standing.,2025-07-18,user_cust-000002_ch-006,CUST-000002-CH-006,False,biometric,2025-06-09,2,,6799.45,3804.75,32146.81,1186.8,7233.63,10213.18,15,10.10.10.0/24,False,False,2025-07-06,n/a,False,True,2025-10-11,TFP-453,True,True,False,2025-07-23,2025-06-06,2025-07-24
CCE-000000014,CUST-000002,CH-007,CH-007,Operations Bridge,2025-07-06,self_service,EMP-000001,active,In good standing.,2026-01-09,user_cust-000002_ch-007,CUST-000002-CH-007,False,biometric,2025-11-16,0,,2359.06,1728.65,57068.51,1138.88,7215.38,925.88,26,0.0.0.0/0,False,False,2025-07-18,n/a,False,True,2025-10-05,TFP-333,True,True,False,2025-12-16,2025-07-06,2026-01-27
CCE-000000015,CUST-000003,CH-001,CH-001,Branch Network,2024-04-29,self_service,system_seed,active,In good standing.,2024-09-04,user_cust-000003_ch-001,CUST-000003-CH-001,False,password,2024-09-04,2,,6956.75,3700.64,72299.57,704.08,2231.14,6311.86,25,0.0.0.0/0,False,False,2024-08-21,n/a,False,True,2024-06-02,TFP-365,True,True,False,2024-06-02,2024-04-29,2024-09-17
CCE-000000016,CUST-000003,CH-002,CH-002,Online Banking,2024-05-07,branch_assisted,EMP-000001,active,In good standing.,2025-04-26,user_cust-000003_ch-002,CUST-000003-CH-002,True,otp_sms,2025-04-09,2,,9346.94,3644.32,73973.77,1216.99,5084.83,10935.78,11,0.0.0.0/0,False,False,2024-06-10,n/a,False,True,2024-06-23,TFP-940,True,True,False,2024-08-10,2024-05-07,2025-04-29
CCE-000000017,CUST-000003,CH-003,CH-003,Mobile App,2024-06-10,call_center,EMP-000007,active,In good standing.,2024-11-08,user_cust-000003_ch-003,CUST-000003-CH-003,True,otp_email,2024-11-08,2,,6117.99,3262.44,103267.71,1198.36,1181.68,6586.61,24,0.0.0.0/0,False,False,2024-06-30,3.9.2,True,True,2024-07-07,TFP-347,True,False,False,2025-04-06,2024-06-10,2024-11-12
CCE-000000018,CUST-000003,CH-004,CH-004,Email,2024-05-29,branch_assisted,EMP-000007,active,In good standing.,2025-01-16,user_cust-000003_ch-004,CUST-000003-CH-004,False,otp_email,2024-11-27,1,,8519.24,3397.76,108524.91,802.38,1933.34,8161.54,13,10.10.10.0/24,False,False,2024-07-08,n/a,False,True,2024-06-17,TFP-109,True,True,False,2025-01-12,2024-05-29,2025-01-17
CCE-000000019,CUST-000003,CH-005,CH-005,SMS,2024-05-12,call_center,system_seed,active,In good standing.,2024-12-01,user_cust-000003_ch-005,CUST-000003-CH-005,False,otp_email,2024-10-11,0,,2302.11,1490.41,70920.42,923.83,5630.43,8795.97,6,0.0.0.0/0,False,True,2024-07-11,n/a,False,True,2024-07-06,TFP-739,True,False,False,2024-08-28,2024-05-12,2024-12-20
CCE-000000020,CUST-000003,CH-006,CH-006,Call Center,2024-05-08,branch_assisted,system_seed,active,In good standing.,2024-07-02,user_cust-000003_ch-006,CUST-000003-CH-006,False,biometric,2024-05-25,2,,4702.24,370.7,99363.17,817.22,1070.67,6298.9,5,10.10.10.0/24,True,False,2024-05-10,n/a,False,True,2024-08-08,TFP-182,True,True,False,2024-09-13,2024-05-08,2024-07-21
CCE-000000021,CUST-000003,CH-007,CH-007,Operations Bridge,2024-05-14,branch_assisted,system_seed,active,In good standing.,2024-12-18,user_cust-000003_ch-007,CUST-000003-CH-007,False,otp_sms,2024-11-14,2,,7771.49,603.62,87095.67,1079.95,1336.97,9987.02,12,0.0.0.0/0,False,False,2024-07-03,n/a,False,False,2024-07-18,TFP-624,True,True,False,2025-03-25,2024-05-14,2025-01-08
CCE-000000022,CUST-000004,CH-001,CH-001,Branch Network,2024-11-01,call_center,system_seed,active,In good standing.,2025-04-19,user_cust-000004_ch-001,CUST-000004-CH-001,False,biometric,2025-03-07,0,,5716.54,660.04,57825.75,1285.56,6297.79,8534.09,7,10.10.10.0/24,False,False,2025-01-27,n/a,False,True,2025-03-06,TFP-976,False,True,False,2025-04-05,2024-11-01,2025-05-06
CCE-000000023,CUST-000004,CH-002,CH-002,Online Banking,2024-11-09,call_center,system_seed,active,In good standing.,2025-04-07,user_cust-000004_ch-002,CUST-000004-CH-002,True,otp_sms,2025-03-27,2,,4431.26,3712.02,84013.08,879.83,5991.94,8668.52,10,10.10.10.0/24,False,False,2025-01-30,n/a,False,True,2025-02-20,TFP-995,True,True,False,2025-04-04,2024-11-09,2025-04-21
CCE-000000024,CUST-000004,CH-003,CH-003,Mobile App,2024-11-10,self_service,system_seed,active,In good standing.,2025-04-25,user_cust-000004_ch-003,CUST-000004-CH-003,True,biometric,2025-02-27,2,,8629.87,1870.54,121691.12,287.77,5439.85,8754.44,22,0.0.0.0/0,True,False,2025-01-16,4.1.0,True,True,2024-11-28,TFP-241,True,True,False,2025-01-11,2024-11-10,2025-05-19
CCE-000000025,CUST-000004,CH-004,CH-004,Email,2024-12-13,branch_assisted,system_seed,active,In good standing.,2025-10-28,user_cust-000004_ch-004,CUST-000004-CH-004,False,otp_email,2025-09-10,2,,2659.2,671.79,32005.1,886.94,1912.94,2238.26,14,0.0.0.0/0,False,False,2024-12-31,n/a,False,True,2025-04-21,TFP-528,True,True,False,2025-06-28,2024-12-13,2025-11-21
CCE-000000026,CUST-000004,CH-005,CH-005,SMS,2024-11-22,self_service,EMP-000007,active,In good standing.,2025-10-30,user_cust-000004_ch-005,CUST-000004-CH-005,False,password,2025-10-10,3,2026-05-02,5870.7,2385.69,86311.87,1100.77,3513.29,9852.17,3,0.0.0.0/0,False,True,2025-01-18,n/a,False,True,2025-03-14,TFP-983,False,True,False,2025-06-19,2024-11-22,2025-11-18
CCE-000000027,CUST-000004,CH-006,CH-006,Call Center,2024-11-24,call_center,EMP-000007,active,In good standing.,2025-12-15,user_cust-000004_ch-006,CUST-000004-CH-006,False,otp_email,2025-11-12,0,,6869.42,2611.6,90473.66,448.72,4103.35,7064.95,5,0.0.0.0/0,False,False,2025-03-19,n/a,False,True,2025-01-10,TFP-311,True,True,False,2025-05-07,2024-11-24,2025-12-29
CCE-000000028,CUST-000004,CH-007,CH-007,Operations Bridge,2024-11-23,branch_assisted,EMP-000001,active,In good standing.,2025-11-08,user_cust-000004_ch-007,CUST-000004-CH-007,False,otp_email,2025-10-28,1,,6806.18,3272.93,98652.23,1115.7,7704.88,7430.75,18,10.10.10.0/24,False,False,2024-12-24,n/a,False,True,2025-04-27,TFP-604,True,True,False,2025-04-29,2024-11-23,2025-11-15
CCE-000000029,CUST-000005,CH-001,CH-001,Branch Network,2025-10-09,branch_assisted,system_seed,active,In good standing.,2026-05-01,user_cust-000005_ch-001,CUST-000005-CH-001,False,otp_email,2026-05-01,1,,4883.39,968.0,87151.69,973.57,500.79,6229.75,17,0.0.0.0/0,False,False,2026-01-01,n/a,False,True,2025-12-15,TFP-513,False,True,False,2026-03-17,2025-10-09,2026-05-01
CCE-000000030,CUST-000005,CH-002,CH-002,Online Banking,2025-10-15,call_center,EMP-000007,active,In good standing.,2026-01-30,user_cust-000005_ch-002,CUST-000005-CH-002,True,otp_email,2025-12-29,3,2026-05-02,5455.83,3979.47,122702.55,1296.85,1642.27,736.76,18,0.0.0.0/0,True,False,2025-12-07,n/a,False,True,2026-03-01,TFP-622,True,True,False,2025-11-15,2025-10-15,2026-02-20
CCE-000000031,CUST-000005,CH-003,CH-003,Mobile App,2025-10-16,branch_assisted,system_seed,active,In good standing.,2026-03-13,user_cust-000005_ch-003,CUST-000005-CH-003,True,otp_email,2026-02-13,2,,5886.75,564.01,98433.55,441.58,4048.26,5525.95,24,0.0.0.0/0,True,False,2026-01-17,3.9.2,True,True,2026-01-18,TFP-658,True,True,False,2026-03-22,2025-10-16,2026-03-29
CCE-000000032,CUST-000005,CH-004,CH-004,Email,2025-11-07,self_service,system_seed,active,In good standing.,2026-05-01,user_cust-000005_ch-004,CUST-000005-CH-004,False,password,2026-05-01,0,,6596.54,2220.97,30845.26,324.86,5447.16,3758.77,12,0.0.0.0/0,False,False,2026-02-15,n/a,False,True,2026-01-09,TFP-335,True,True,False,2026-05-01,2025-11-07,2026-05-01
CCE-000000033,CUST-000005,CH-005,CH-005,SMS,2025-10-05,call_center,EMP-000007,active,In good standing.,2026-05-01,user_cust-000005_ch-005,CUST-000005-CH-005,False,biometric,2026-05-01,2,,8224.7,3227.59,78421.15,511.51,6284.66,9619.7,13,10.10.10.0/24,False,True,2026-01-13,n/a,False,False,2025-12-05,TFP-336,False,True,False,2026-01-16,2025-10-05,2026-05-01
CCE-000000034,CUST-000005,CH-006,CH-006,Call Center,2025-10-25,call_center,EMP-000001,active,In good standing.,2026-05-01,user_cust-000005_ch-006,CUST-000005-CH-006,False,password,2026-05-01,0,,2553.2,2806.09,128631.17,1189.77,5399.64,8864.09,23,10.10.10.0/24,False,False,2025-11-29,n/a,False,True,2026-02-02,TFP-907,True,True,False,2026-02-13,2025-10-25,2026-05-01
CCE-000000035,CUST-000005,CH-007,CH-007,Operations Bridge,2025-11-05,self_service,system_seed,active,In good standing.,2026-01-19,user_cust-000005_ch-007,CUST-000005-CH-007,False,otp_email,2025-11-30,2,,7265.96,1374.42,54033.82,1194.16,2186.35,7884.26,25,0.0.0.0/0,False,False,2025-11-23,n/a,False,True,2026-04-01,TFP-607,True,True,False,2026-02-24,2025-11-05,2026-02-05
CCE-000000036,CUST-000006,CH-001,CH-001,Branch Network,2024-08-22,self_service,EMP-000001,active,In good standing.,2025-10-12,user_cust-000006_ch-001,CUST-000006-CH-001,False,password,2025-08-28,2,,5716.11,1900.29,111794.29,1237.26,3996.09,2113.56,26,0.0.0.0/0,False,False,2024-12-05,n/a,False,True,2024-11-03,TFP-230,True,True,False,2025-02-22,2024-08-22,2025-10-15
CCE-000000037,CUST-000006,CH-002,CH-002,Online Banking,2024-09-10,branch_assisted,EMP-000001,active,In good standing.,2025-01-25,user_cust-000006_ch-002,CUST-000006-CH-002,True,otp_email,2024-12-07,3,2026-05-02,3428.32,4118.38,74953.87,799.07,7139.48,10159.55,22,0.0.0.0/0,False,False,2024-12-02,n/a,False,True,2025-02-03,TFP-126,True,True,False,2025-02-26,2024-09-10,2025-02-08
CCE-000000038,CUST-000006,CH-003,CH-003,Mobile App,2024-08-12,self_service,system_seed,active,In good standing.,2024-09-04,user_cust-000006_ch-003,CUST-000006-CH-003,True,password,2024-08-01,2,,6050.09,3761.44,125001.99,286.41,5457.31,3142.9,22,0.0.0.0/0,False,False,2024-11-27,4.1.0,False,True,2024-11-29,TFP-798,True,True,False,2024-10-08,2024-08-12,2024-09-17
CCE-000000039,CUST-000006,CH-004,CH-004,Email,2024-09-15,branch_assisted,system_seed,active,In good standing.,2025-07-13,user_cust-000006_ch-004,CUST-000006-CH-004,False,password,2025-06-18,1,,4624.02,1125.65,20483.2,587.6,4267.98,10270.85,17,0.0.0.0/0,False,False,2024-12-27,n/a,False,True,2024-12-30,TFP-614,True,False,False,2025-01-18,2024-09-15,2025-08-03
CCE-000000040,CUST-000006,CH-005,CH-005,SMS,2024-08-25,branch_assisted,EMP-000001,active,In good standing.,2025-08-19,user_cust-000006_ch-005,CUST-000006-CH-005,False,password,2025-08-18,1,,7409.97,1224.85,40289.19,258.75,667.15,4875.45,8,0.0.0.0/0,False,True,2024-10-29,n/a,False,True,2024-09-04,TFP-360,True,False,False,2025-01-09,2024-08-25,2025-08-30
CCE-000000041,CUST-000006,CH-006,CH-006,Call Center,2024-09-12,call_center,EMP-000007,active,In good standing.,2025-01-07,user_cust-000006_ch-006,CUST-000006-CH-006,False,biometric,2024-12-25,0,,1866.64,960.56,50752.07,526.23,4503.25,4814.27,17,0.0.0.0/0,False,False,2024-11-22,n/a,False,True,2025-02-23,TFP-907,False,True,False,2025-07-06,2024-09-12,2025-01-21
CCE-000000042,CUST-000006,CH-007,CH-007,Operations Bridge,2024-08-13,branch_assisted,EMP-000001,active,In good standing.,2025-01-01,user_cust-000006_ch-007,CUST-000006-CH-007,False,otp_email,2024-11-22,3,2026-05-02,7764.53,2769.62,67917.37,411.34,4190.82,2339.44,21,0.0.0.0/0,False,False,2024-10-24,n/a,False,True,2024-11-12,TFP-622,True,False,True,2024-09-19,2024-08-13,2025-01-23
CCE-000000043,CUST-000007,CH-001,CH-001,Branch Network,2024-11-21,branch_assisted,EMP-000007,active,In good standing.,2024-11-24,user_cust-000007_ch-001,CUST-000007-CH-001,False,otp_email,2024-11-20,3,2026-05-02,7308.74,1921.94,106263.07,412.61,6295.41,10377.12,19,0.0.0.0/0,False,False,2025-01-06,n/a,False,True,2025-03-21,TFP-302,False,True,False,2025-04-14,2024-11-21,2024-12-05
CCE-000000044,CUST-000007,CH-002,CH-002,Online Banking,2024-12-19,call_center,EMP-000001,active,In good standing.,2025-07-20,user_cust-000007_ch-002,CUST-000007-CH-002,True,password,2025-06-02,2,,7209.66,1119.51,129562.4,259.64,2177.48,1133.24,22,0.0.0.0/0,False,False,2025-03-23,n/a,False,False,2025-01-17,TFP-648,True,True,False,2025-02-22,2024-12-19,2025-07-26
CCE-000000045,CUST-000007,CH-003,CH-003,Mobile App,2024-12-04,branch_assisted,EMP-000001,active,In good standing.,2025-12-14,user_cust-000007_ch-003,CUST-000007-CH-003,False,biometric,2025-10-26,2,,6966.25,2027.6,73239.83,658.37,7408.14,7272.63,21,0.0.0.0/0,True,False,2025-03-27,4.1.0,True,True,2025-01-11,TFP-135,False,True,False,2025-07-20,2024-12-04,2025-12-21
CCE-000000046,CUST-000007,CH-004,CH-004,Email,2024-11-17,self_service,EMP-000001,active,In good standing.,2025-03-29,user_cust-000007_ch-004,CUST-000007-CH-004,False,password,2025-03-01,0,,4795.49,3056.91,66179.63,343.45,6720.04,5078.54,14,0.0.0.0/0,False,False,2024-12-19,n/a,False,True,2025-04-06,TFP-245,False,True,False,2025-05-24,2024-11-17,2025-03-29
CCE-000000047,CUST-000007,CH-005,CH-005,SMS,2024-12-12,branch_assisted,system_seed,active,In good standing.,2025-09-06,user_cust-000007_ch-005,CUST-000007-CH-005,False,biometric,2025-07-20,1,,5645.86,1342.57,94744.93,750.04,2671.81,4169.7,9,0.0.0.0/0,False,False,2025-03-24,n/a,False,False,2025-01-01,TFP-542,True,True,False,2025-07-04,2024-12-12,2025-09-15
CCE-000000048,CUST-000007,CH-006,CH-006,Call Center,2024-12-14,self_service,EMP-000001,active,In good standing.,2026-01-27,user_cust-000007_ch-006,CUST-000007-CH-006,False,biometric,2026-01-21,3,2026-05-02,8382.68,3284.52,90673.63,895.32,2097.5,2909.21,3,10.10.10.0/24,False,False,2025-03-28,n/a,False,True,2025-02-19,TFP-540,True,True,False,2025-02-19,2024-12-14,2026-02-02
CCE-000000049,CUST-000007,CH-007,CH-007,Operations Bridge,2024-12-26,branch_assisted,EMP-000001,inactive,Inactivity policy,2025-02-14,user_cust-000007_ch-007,CUST-000007-CH-007,False,otp_email,2024-12-28,1,,6053.77,3790.8,61821.52,1225.28,5671.12,3800.42,7,10.10.10.0/24,False,False,2025-01-08,n/a,False,True,2025-03-23,TFP-442,False,True,False,2025-02-23,2024-12-26,2025-02-17
CCE-000000050,CUST-000008,CH-001,CH-001,Branch Network,2025-05-21,call_center,EMP-000007,active,In good standing.,2025-11-23,user_cust-000008_ch-001,CUST-000008-CH-001,False,biometric,2025-10-31,0,,2098.01,1234.78,114637.95,980.98,4157.42,3228.61,23,0.0.0.0/0,True,False,2025-07-17,n/a,False,False,2025-07-03,TFP-872,True,False,False,2026-03-18,2025-05-21,2025-12-09
CCE-000000051,CUST-000008,CH-002,CH-002,Online Banking,2025-05-15,branch_assisted,EMP-000007,suspended,Inactivity policy,2025-07-15,user_cust-000008_ch-002,CUST-000008-CH-002,True,biometric,2025-05-29,1,,9217.51,2262.14,26587.98,1127.49,2158.78,9751.16,19,10.10.10.0/24,False,False,2025-09-02,n/a,False,False,2025-06-12,TFP-936,True,True,False,2026-03-02,2025-05-15,2025-07-20
CCE-000000052,CUST-000008,CH-003,CH-003,Mobile App,2025-06-02,call_center,EMP-000001,active,In good standing.,2026-03-04,user_cust-000008_ch-003,CUST-000008-CH-003,True,otp_email,2026-01-12,1,,3506.33,378.26,37050.76,1277.61,3667.25,2710.2,8,0.0.0.0/0,True,False,2025-07-25,4.0.1,True,True,2025-07-06,TFP-270,True,True,False,2025-11-03,2025-06-02,2026-03-10
CCE-000000053,CUST-000008,CH-004,CH-004,Email,2025-05-06,branch_assisted,EMP-000007,active,In good standing.,2026-04-12,user_cust-000008_ch-004,CUST-000008-CH-004,False,otp_email,2026-04-08,2,,7758.7,1465.15,25949.14,853.38,751.95,8056.15,24,0.0.0.0/0,False,False,2025-05-21,n/a,False,True,2025-06-13,TFP-506,True,True,False,2025-11-24,2025-05-06,2026-05-01
CCE-000000054,CUST-000008,CH-005,CH-005,SMS,2025-05-24,branch_assisted,system_seed,active,In good standing.,2025-08-26,user_cust-000008_ch-005,CUST-000008-CH-005,False,password,2025-07-23,2,,3366.03,405.08,118102.27,1094.45,728.39,1286.96,20,10.10.10.0/24,False,True,2025-08-26,n/a,False,True,2025-06-18,TFP-997,True,False,False,2026-02-03,2025-05-24,2025-09-19
CCE-000000055,CUST-000008,CH-006,CH-006,Call Center,2025-05-31,call_center,EMP-000007,active,In good standing.,2026-04-18,user_cust-000008_ch-006,CUST-000008-CH-006,False,password,2026-04-03,2,,7433.23,2770.59,26583.11,556.17,2077.58,4873.31,5,10.10.10.0/24,False,False,2025-07-30,n/a,False,True,2025-07-30,TFP-630,True,True,False,2025-08-08,2025-05-31,2026-04-26
CCE-000000056,CUST-000008,CH-007,CH-007,Operations Bridge,2025-04-22,branch_assisted,EMP-000007,inactive,Security review,2026-05-01,user_cust-000008_ch-007,CUST-000008-CH-007,False,otp_email,2026-05-01,2,,5154.47,1308.03,82246.31,757.09,3588.45,10833.99,24,0.0.0.0/0,False,False,2025-07-23,n/a,False,True,2025-05-13,TFP-689,False,True,False,2026-02-22,2025-04-22,2026-05-01
CCE-000000057,CUST-000009,CH-001,CH-001,Branch Network,2025-07-28,self_service,EMP-000007,active,In good standing.,2025-08-03,user_cust-000009_ch-001,CUST-000009-CH-001,False,biometric,2025-07-05,2,,3703.31,3748.09,65064.79,506.22,5685.96,7245.18,19,0.0.0.0/0,True,False,2025-10-22,n/a,False,True,2025-08-15,TFP-145,True,False,False,2026-01-16,2025-07-28,2025-08-22
CCE-000000058,CUST-000009,CH-002,CH-002,Online Banking,2025-09-01,branch_assisted,system_seed,inactive,Security review,2026-05-01,user_cust-000009_ch-002,CUST-000009-CH-002,True,otp_email,2026-05-01,1,,7158.4,3673.25,60830.08,974.83,2426.1,5298.33,4,10.10.10.0/24,True,False,2025-09-30,n/a,False,True,2025-10-18,TFP-886,True,True,True,2025-10-06,2025-09-01,2026-05-01
CCE-000000059,CUST-000009,CH-003,CH-003,Mobile App,2025-09-01,branch_assisted,EMP-000001,active,In good standing.,2025-12-30,user_cust-000009_ch-003,CUST-000009-CH-003,True,otp_email,2025-12-19,3,2026-05-02,2719.46,1684.3,32446.01,712.78,6977.19,5653.62,20,0.0.0.0/0,False,False,2025-11-15,3.9.2,False,True,2026-01-02,TFP-757,True,True,False,2026-02-15,2025-09-01,2026-01-21
CCE-000000060,CUST-000009,CH-004,CH-004,Email,2025-09-04,call_center,EMP-000001,active,In good standing.,2025-12-07,user_cust-000009_ch-004,CUST-000009-CH-004,False,biometric,2025-11-01,0,,6475.58,1452.16,37831.33,1180.81,4656.94,2884.04,17,0.0.0.0/0,True,False,2025-09-17,n/a,False,True,2025-12-03,TFP-855,True,True,False,2025-11-11,2025-09-04,2025-12-09
CCE-000000061,CUST-000009,CH-005,CH-005,SMS,2025-08-22,branch_assisted,EMP-000001,active,In good standing.,2026-03-05,user_cust-000009_ch-005,CUST-000009-CH-005,False,otp_sms,2026-01-18,1,,1540.5,629.32,88669.22,452.18,5527.73,7258.56,16,0.0.0.0/0,False,True,2025-08-30,n/a,False,True,2026-01-22,TFP-397,False,True,True,2025-11-08,2025-08-22,2026-03-20
CCE-000000062,CUST-000009,CH-006,CH-006,Call Center,2025-08-02,self_service,EMP-000007,active,In good standing.,2025-11-13,user_cust-000009_ch-006,CUST-000009-CH-006,False,biometric,2025-10-06,1,,9193.57,1515.9,70152.16,1092.65,2820.69,4666.97,25,0.0.0.0/0,False,False,2025-11-05,n/a,False,True,2025-12-02,TFP-983,True,True,False,2025-09-08,2025-08-02,2025-11-27
CCE-000000063,CUST-000009,CH-007,CH-007,Operations Bridge,2025-08-05,self_service,EMP-000007,suspended,Security review,2026-05-01,user_cust-000009_ch-007,CUST-000009-CH-007,False,otp_email,2026-03-25,0,,4218.87,1431.53,61441.67,1091.0,1383.0,2830.29,26,0.0.0.0/0,False,False,2025-09-28,n/a,False,True,2025-12-02,TFP-114,True,True,False,2025-11-23,2025-08-05,2026-05-01
CCE-000000064,CUST-000010,CH-001,CH-001,Branch Network,2025-10-26,self_service,system_seed,suspended,Customer request,2026-05-01,user_cust-000010_ch-001,CUST-000010-CH-001,False,biometric,2026-05-01,0,,7104.87,2468.87,104752.51,841.57,4656.12,9540.07,9,0.0.0.0/0,False,False,2025-12-16,n/a,False,True,2026-01-07,TFP-463,True,True,False,2026-05-01,2025-10-26,2026-05-01
