campaign_id,customer_id,account_id,period_id,conversion_status,conversion_ts,booked_revenue_usd
CMP-0010,CUST-000077,ACCT-000077,2026-M10,converted,2026-10-06 09:47:00,299.74
CMP-0010,CUST-000138,ACCT-000138,2026-M10,converted,2026-10-07 16:19:00,294.99
CMP-0010,CUST-000289,ACCT-000289,2026-M10,converted,2026-10-03 08:45:00,338.43
CMP-0010,CUST-000215,ACCT-000215,2026-M10,nurturing,2026-10-05 13:03:00,0.0
CMP-0010,CUST-000124,ACCT-000124,2026-M10,nurturing,2026-10-02 10:31:00,0.0
CMP-0010,CUST-000199,ACCT-000199,2026-M10,converted,2026-10-06 13:36:00,357.74
CMP-0010,CUST-000036,ACCT-000036,2026-M10,nurturing,2026-10-07 08:12:00,0.0
CMP-0010,CUST-000117,ACCT-000117,2026-M10,closed_lost,2026-10-06 09:18:00,0.0
CMP-0010,CUST-000140,ACCT-000140,2026-M10,converted,2026-10-07 16:45:00,373.04
CMP-0010,CUST-000066,ACCT-000066,2026-M10,nurturing,2026-10-06 14:51:00,0.0
CMP-0011,CUST-000360,ACCT-000360,2026-M11,converted,2026-11-03 14:27:00,905.13
CMP-0011,CUST-000333,ACCT-000333,2026-M11,closed_lost,2026-11-03 08:44:00,0.0
CMP-0011,CUST-000228,ACCT-000228,2026-M11,converted,2026-11-06 16:03:00,1053.05
CMP-0011,CUST-000252,ACCT-000252,2026-M11,converted,2026-11-04 14:45:00,1090.95
CMP-0011,CUST-000128,ACCT-000128,2026-M11,converted,2026-11-02 08:28:00,1088.0
CMP-0011,CUST-000301,ACCT-000301,2026-M11,converted,2026-11-03 16:24:00,882.56
CMP-0011,CUST-000223,ACCT-000223,2026-M11,converted,2026-11-02 11:28:00,942.08
CMP-0011,CUST-000038,ACCT-000038,2026-M11,converted,2026-11-06 13:00:00,873.25
CMP-0011,CUST-000318,ACCT-000318,2026-M11,nurturing,2026-11-06 13:20:00,0.0
CMP-0011,CUST-000057,ACCT-000057,2026-M11,converted,2026-11-07 13:07:00,968.93
CMP-0011,CUST-000246,ACCT-000246,2026-M11,closed_lost,2026-11-06 12:34:00,0.0
CMP-0011,CUST-000058,ACCT-000058,2026-M11,converted,2026-11-05 08:33:00,973.84
CMP-0011,CUST-000346,ACCT-000346,2026-M11,converted,2026-11-01 14:00:00,939.22
CMP-0011,CUST-000061,ACCT-000061,2026-M11,converted,2026-11-03 10:58:00,991.08
CMP-0011,CUST-000062,ACCT-000062,2026-M11,converted,2026-11-06 17:57:00,1008.59
CMP-0011,CUST-000261,ACCT-000261,2026-M11,converted,2026-11-02 09:03:00,1081.23
CMP-0011,CUST-000039,ACCT-000039,2026-M11,closed_lost,2026-11-05 15:02:00,0.0
CMP-0011,CUST-000237,ACCT-000237,2026-M11,converted,2026-11-03 17:15:00,955.22
CMP-0012,CUST-000179,ACCT-000179,2026-M12,closed_lost,2026-12-01 17:55:00,0.0
CMP-0012,CUST-000176,ACCT-000176,2026-M12,converted,2026-12-01 13:32:00,1003.1
CMP-0012,CUST-000183,ACCT-000183,2026-M12,converted,2026-12-03 17:08:00,928.56
CMP-0012,CUST-000172,ACCT-000172,2026-M12,converted,2026-12-02 09:22:00,985.48
CMP-0012,CUST-000274,ACCT-000274,2026-M12,converted,2026-12-02 10:24:00,1073.07
CMP-0012,CUST-000340,ACCT-000340,2026-M12,closed_lost,2026-12-06 11:17:00,0.0
CMP-0012,CUST-000330,ACCT-000330,2026-M12,nurturing,2026-12-02 11:53:00,0.0
CMP-0012,CUST-000279,ACCT-000279,2026-M12,converted,2026-12-03 15:15:00,1029.56
CMP-0012,CUST-000296,ACCT-000296,2026-M12,nurturing,2026-12-05 08:11:00,0.0
CMP-0012,CUST-000190,ACCT-000190,2026-M12,converted,2026-12-01 10:59:00,862.36
CMP-0012,CUST-000348,ACCT-000348,2026-M12,converted,2026-12-07 13:52:00,1101.77
CMP-0012,CUST-000355,ACCT-000355,2026-M12,converted,2026-12-03 15:45:00,1022.43
CMP-0012,CUST-000086,ACCT-000086,2026-M12,converted,2026-12-01 17:43:00,1031.56
CMP-0012,CUST-000267,ACCT-000267,2026-M12,closed_lost,2026-12-02 14:58:00,0.0
CMP-0012,CUST-000155,ACCT-000155,2026-M12,converted,2026-12-02 14:54:00,1053.1
CMP-0012,CUST-000334,ACCT-000334,2026-M12,converted,2026-12-02 09:53:00,911.82
CMP-0012,CUST-000308,ACCT-000308,2026-M12,converted,2026-12-06 12:17:00,990.85
CMP-0012,CUST-000209,ACCT-000209,2026-M12,converted,2026-12-01 10:33:00,1084.99
CMP-0012,CUST-000049,ACCT-000049,2026-M12,converted,2026-12-07 14:59:00,1098.67
CMP-0012,CUST-000022,ACCT-000022,2026-M12,converted,2026-12-04 08:06:00,884.04
CMP-0012,CUST-000322,ACCT-000322,2026-M12,nurturing,2026-12-01 15:48:00,0.0
