account_id,customer_id,branch_id,period_id,ending_balance_usd,average_balance_usd
ACCT-000003,CUST-000003,BR-002,2026-M04,5670.5,5410.7
ACCT-000003,CUST-000003,BR-002,2026-M05,5254.35,4783.22
ACCT-000003,CUST-000003,BR-002,2026-M06,5552.4,5178.81
ACCT-000003,CUST-000003,BR-002,2026-M07,5369.35,5082.46
ACCT-000003,CUST-000003,BR-002,2026-M08,5360.85,5078.27
ACCT-000003,CUST-000003,BR-002,2026-M09,5295.29,4995.46
ACCT-000003,CUST-000003,BR-002,2026-M10,5422.68,4970.44
ACCT-000003,CUST-000003,BR-002,2026-M11,5308.11,5056.81
ACCT-000003,CUST-000003,BR-002,2026-M12,5452.58,5019.66
ACCT-000004,CUST-000004,BR-002,2025-M01,38653.45,35862.76
ACCT-000004,CUST-000004,BR-002,2025-M02,42050.3,40730.83
ACCT-000004,CUST-000004,BR-002,2025-M03,43476.42,41106.71
ACCT-000004,CUST-000004,BR-002,2025-M04,41195.74,38367.52
ACCT-000004,CUST-000004,BR-002,2025-M05,41504.73,40026.26
ACCT-000004,CUST-000004,BR-002,2025-M06,40659.38,38951.13
ACCT-000004,CUST-000004,BR-002,2025-M07,40187.13,38483.83
ACCT-000004,CUST-000004,BR-002,2025-M08,40159.97,36587.93
ACCT-000004,CUST-000004,BR-002,2025-M09,40278.37,38179.33
ACCT-000004,CUST-000004,BR-002,2025-M10,39788.66,37270.0
ACCT-000004,CUST-000004,BR-002,2025-M11,44002.02,42246.33
ACCT-000004,CUST-000004,BR-002,2025-M12,43163.76,40296.35
ACCT-000004,CUST-000004,BR-002,2026-M01,44125.55,42455.89
ACCT-000004,CUST-000004,BR-002,2026-M02,45719.66,43538.21
ACCT-000004,CUST-000004,BR-002,2026-M03,47418.17,45927.17
ACCT-000004,CUST-000004,BR-002,2026-M04,46509.49,42343.25
ACCT-000004,CUST-000004,BR-002,2026-M05,42381.93,39940.92
ACCT-000004,CUST-000004,BR-002,2026-M06,45778.98,42079.14
ACCT-000004,CUST-000004,BR-002,2026-M07,45612.68,41559.06
ACCT-000004,CUST-000004,BR-002,2026-M08,44531.15,40748.46
ACCT-000004,CUST-000004,BR-002,2026-M09,45455.24,43795.23
ACCT-000004,CUST-000004,BR-002,2026-M10,44552.09,41205.95
ACCT-000004,CUST-000004,BR-002,2026-M11,46390.68,42649.44
ACCT-000004,CUST-000004,BR-002,2026-M12,46023.64,42908.06
ACCT-000005,CUST-000005,BR-005,2025-M10,22505.17,21086.59
ACCT-000005,CUST-000005,BR-005,2025-M11,23584.52,21519.03
ACCT-000005,CUST-000005,BR-005,2025-M12,23450.87,22248.25
ACCT-000005,CUST-000005,BR-005,2026-M01,21671.98,20494.92
ACCT-000005,CUST-000005,BR-005,2026-M02,25866.16,24928.26
ACCT-000005,CUST-000005,BR-005,2026-M03,25256.0,24050.43
ACCT-000005,CUST-000005,BR-005,2026-M04,25134.14,23505.49
ACCT-000005,CUST-000005,BR-005,2026-M05,25063.97,23446.01
ACCT-000005,CUST-000005,BR-005,2026-M06,24095.19,22725.18
ACCT-000005,CUST-000005,BR-005,2026-M07,25320.49,23989.71
ACCT-000005,CUST-000005,BR-005,2026-M08,24035.77,21913.89
ACCT-000005,CUST-000005,BR-005,2026-M09,24370.23,22199.74
ACCT-000005,CUST-000005,BR-005,2026-M10,25964.46,23651.68
ACCT-000005,CUST-000005,BR-005,2026-M11,26353.27,24461.05
ACCT-000005,CUST-000005,BR-005,2026-M12,27044.65,26040.48
ACCT-000006,CUST-000006,BR-011,2025-M01,72407.45,66589.62
ACCT-000006,CUST-000006,BR-011,2025-M02,72670.87,68538.98
ACCT-000006,CUST-000006,BR-011,2025-M03,75651.49,72725.2
ACCT-000006,CUST-000006,BR-011,2025-M04,76415.59,71034.49
ACCT-000006,CUST-000006,BR-011,2025-M05,76143.93,69337.75
ACCT-000006,CUST-000006,BR-011,2025-M06,73875.73,68811.66
ACCT-000006,CUST-000006,BR-011,2025-M07,77819.25,73011.15
ACCT-000006,CUST-000006,BR-011,2025-M08,80329.29,73828.34
ACCT-000006,CUST-000006,BR-011,2025-M09,74312.64,69635.59
ACCT-000006,CUST-000006,BR-011,2025-M10,77473.72,72593.88
ACCT-000006,CUST-000006,BR-011,2025-M11,79761.68,73852.48
ACCT-000006,CUST-000006,BR-011,2025-M12,83846.66,80466.75
ACCT-000006,CUST-000006,BR-011,2026-M01,85711.32,81120.82
ACCT-000006,CUST-000006,BR-011,2026-M02,83090.24,76787.38
ACCT-000006,CUST-000006,BR-011,2026-M03,81225.1,75272.1
ACCT-000006,CUST-000006,BR-011,2026-M04,87255.93,82148.22
ACCT-000006,CUST-000006,BR-011,2026-M05,82485.36,77651.71
ACCT-000006,CUST-000006,BR-011,2026-M06,84003.41,78508.84
ACCT-000006,CUST-000006,BR-011,2026-M07,80378.74,73349.82
ACCT-000006,CUST-000006,BR-011,2026-M08,78747.51,72862.57
ACCT-000006,CUST-000006,BR-011,2026-M09,78381.37,72289.22
ACCT-000006,CUST-000006,BR-011,2026-M10,79362.01,73992.61
ACCT-000006,CUST-000006,BR-011,2026-M11,81222.41,77581.18
ACCT-000006,CUST-000006,BR-011,2026-M12,80251.22,73388.62
ACCT-000007,CUST-000007,BR-008,2025-M01,9433.26,8663.19
ACCT-000007,CUST-000007,BR-008,2025-M02,9899.56,9141.12
ACCT-000007,CUST-000007,BR-008,2025-M03,9922.84,9419.51
ACCT-000007,CUST-000007,BR-008,2025-M04,9692.98,9211.36
ACCT-000007,CUST-000007,BR-008,2025-M05,9995.54,9246.69
ACCT-000007,CUST-000007,BR-008,2025-M06,10001.62,9223.42
ACCT-000007,CUST-000007,BR-008,2025-M07,10154.08,9805.1
ACCT-000007,CUST-000007,BR-008,2025-M08,9811.42,9495.94
ACCT-000007,CUST-000007,BR-008,2025-M09,9696.56,9278.81
ACCT-000007,CUST-000007,BR-008,2025-M10,10336.04,9469.67
ACCT-000007,CUST-000007,BR-008,2025-M11,10474.91,10154.79
ACCT-000007,CUST-000007,BR-008,2025-M12,11133.99,10491.6
ACCT-000007,CUST-000007,BR-008,2026-M01,10973.52,10134.56
ACCT-000007,CUST-000007,BR-008,2026-M02,10921.01,10384.04
ACCT-000007,CUST-000007,BR-008,2026-M03,11117.95,10403.34
ACCT-000007,CUST-000007,BR-008,2026-M04,10823.47,9937.84
ACCT-000007,CUST-000007,BR-008,2026-M05,10978.75,10280.49
ACCT-000007,CUST-000007,BR-008,2026-M06,11432.2,11084.7
ACCT-000007,CUST-000007,BR-008,2026-M07,11123.56,10782.41
ACCT-000007,CUST-000007,BR-008,2026-M08,10421.55,9535.14
ACCT-000007,CUST-000007,BR-008,2026-M09,10696.91,9737.69
ACCT-000007,CUST-000007,BR-008,2026-M10,10381.71,9716.24
ACCT-000007,CUST-000007,BR-008,2026-M11,11028.92,10567.53
ACCT-000007,CUST-000007,BR-008,2026-M12,11811.37,11293.17
ACCT-000008,CUST-000008,BR-006,2025-M04,3023.9,2776.03
ACCT-000008,CUST-000008,BR-006,2025-M05,3073.15,2868.35
ACCT-000008,CUST-000008,BR-006,2025-M06,2946.81,2776.97
ACCT-000008,CUST-000008,BR-006,2025-M07,3001.05,2872.19
ACCT-000008,CUST-000008,BR-006,2025-M08,2970.09,2807.68
ACCT-000008,CUST-000008,BR-006,2025-M09,3038.32,2818.68
ACCT-000008,CUST-000008,BR-006,2025-M10,3060.41,2927.82
ACCT-000008,CUST-000008,BR-006,2025-M11,3153.21,3020.12
ACCT-000008,CUST-000008,BR-006,2025-M12,3269.31,3122.07
ACCT-000008,CUST-000008,BR-006,2026-M01,3084.27,2863.73
ACCT-000008,CUST-000008,BR-006,2026-M02,3256.86,3007.31
ACCT-000008,CUST-000008,BR-006,2026-M03,3474.03,3232.17
ACCT-000008,CUST-000008,BR-006,2026-M04,3319.18,3070.93
ACCT-000008,CUST-000008,BR-006,2026-M05,3364.46,3165.93
ACCT-000008,CUST-000008,BR-006,2026-M06,3409.14,3120.18
ACCT-000008,CUST-000008,BR-006,2026-M07,3257.15,3154.72
ACCT-000008,CUST-000008,BR-006,2026-M08,3233.79,3092.53
ACCT-000008,CUST-000008,BR-006,2026-M09,3431.75,3224.92
ACCT-000008,CUST-000008,BR-006,2026-M10,3326.55,3111.32
ACCT-000008,CUST-000008,BR-006,2026-M11,3512.59,3213.79
ACCT-000008,CUST-000008,BR-006,2026-M12,3627.18,3348.75
ACCT-000010,CUST-000010,BR-008,2025-M10,34712.19,31620.85
ACCT-000010,CUST-000010,BR-008,2025-M11,36384.75,34254.37
ACCT-000010,CUST-000010,BR-008,2025-M12,38961.13,37593.39
ACCT-000010,CUST-000010,BR-008,2026-M01,39487.48,37658.04
ACCT-000010,CUST-000010,BR-008,2026-M02,37614.4,36118.45
ACCT-000010,CUST-000010,BR-008,2026-M03,38094.62,36212.81
ACCT-000010,CUST-000010,BR-008,2026-M04,38503.95,35310.77
ACCT-000010,CUST-000010,BR-008,2026-M05,40119.24,36986.36
ACCT-000010,CUST-000010,BR-008,2026-M06,39028.46,36102.88
ACCT-000010,CUST-000010,BR-008,2026-M07,38862.33,35386.8
ACCT-000010,CUST-000010,BR-008,2026-M08,38224.46,36209.68
ACCT-000010,CUST-000010,BR-008,2026-M09,40212.93,37755.13
ACCT-000010,CUST-000010,BR-008,2026-M10,38120.07,36188.42
ACCT-000010,CUST-000010,BR-008,2026-M11,40035.73,37402.36
ACCT-000010,CUST-000010,BR-008,2026-M12,40807.38,39404.19
ACCT-000011,CUST-000011,BR-005,2025-M07,49684.68,47982.89
ACCT-000011,CUST-000011,BR-005,2025-M08,48954.13,44813.55
ACCT-000011,CUST-000011,BR-005,2025-M09,49724.98,46777.02
ACCT-000011,CUST-000011,BR-005,2025-M10,50515.29,46679.9
ACCT-000011,CUST-000011,BR-005,2025-M11,50616.36,47376.97
ACCT-000011,CUST-000011,BR-005,2025-M12,52482.98,50560.67
ACCT-000011,CUST-000011,BR-005,2026-M01,51719.38,48266.71
ACCT-000011,CUST-000011,BR-005,2026-M02,54347.04,52537.72
ACCT-000011,CUST-000011,BR-005,2026-M03,54494.43,50129.86
ACCT-000011,CUST-000011,BR-005,2026-M04,56847.79,54948.23
ACCT-000011,CUST-000011,BR-005,2026-M05,55386.43,53330.41
ACCT-000011,CUST-000011,BR-005,2026-M06,56395.14,53964.09
ACCT-000011,CUST-000011,BR-005,2026-M07,55350.58,52344.42
ACCT-000011,CUST-000011,BR-005,2026-M08,54952.4,50349.53
ACCT-000011,CUST-000011,BR-005,2026-M09,55192.91,51155.32
ACCT-000011,CUST-000011,BR-005,2026-M10,56868.95,52918.43
ACCT-000011,CUST-000011,BR-005,2026-M11,57476.6,54683.05
ACCT-000011,CUST-000011,BR-005,2026-M12,58303.28,54864.26
ACCT-000012,CUST-000012,BR-007,2025-M01,12212.69,11388.06
ACCT-000012,CUST-000012,BR-007,2025-M02,12367.59,11452.32
ACCT-000012,CUST-000012,BR-007,2025-M03,12756.76,12195.82
ACCT-000012,CUST-000012,BR-007,2025-M04,13340.39,12576.99
ACCT-000012,CUST-000012,BR-007,2025-M05,12992.73,11952.72
ACCT-000012,CUST-000012,BR-007,2025-M06,12565.94,11680.23
ACCT-000012,CUST-000012,BR-007,2025-M07,12098.81,11066.82
ACCT-000012,CUST-000012,BR-007,2025-M08,12150.02,11421.66
ACCT-000012,CUST-000012,BR-007,2025-M09,12713.81,11925.15
ACCT-000012,CUST-000012,BR-007,2025-M10,12753.17,11966.48
ACCT-000012,CUST-000012,BR-007,2025-M11,13000.94,12296.14
ACCT-000012,CUST-000012,BR-007,2025-M12,13679.42,12552.21
ACCT-000012,CUST-000012,BR-007,2026-M01,13528.97,13118.85
ACCT-000012,CUST-000012,BR-007,2026-M02,13413.49,12983.98
ACCT-000012,CUST-000012,BR-007,2026-M03,14044.38,13009.0
ACCT-000012,CUST-000012,BR-007,2026-M04,14442.86,13853.39
ACCT-000012,CUST-000012,BR-007,2026-M05,14029.15,13148.44
ACCT-000012,CUST-000012,BR-007,2026-M06,14113.99,12923.32
ACCT-000012,CUST-000012,BR-007,2026-M07,13592.62,13135.06
ACCT-000012,CUST-000012,BR-007,2026-M08,13463.61,12432.36
ACCT-000012,CUST-000012,BR-007,2026-M09,13593.87,13118.93
ACCT-000012,CUST-000012,BR-007,2026-M10,12998.52,12497.08
ACCT-000012,CUST-000012,BR-007,2026-M11,13586.27,12690.94
ACCT-000012,CUST-000012,BR-007,2026-M12,13962.58,12876.59
ACCT-000014,CUST-000014,BR-011,2025-M05,26845.03,25874.7
ACCT-000014,CUST-000014,BR-011,2025-M06,27486.61,26648.35
ACCT-000014,CUST-000014,BR-011,2025-M07,25798.55,24091.37
ACCT-000014,CUST-000014,BR-011,2025-M08,26173.97,24361.26
ACCT-000014,CUST-000014,BR-011,2025-M09,26065.4,23831.73
ACCT-000014,CUST-000014,BR-011,2025-M10,27456.77,25044.91
ACCT-000014,CUST-000014,BR-011,2025-M11,28423.96,26499.65
ACCT-000014,CUST-000014,BR-011,2025-M12,28518.28,26173.68
ACCT-000014,CUST-000014,BR-011,2026-M01,28730.96,27066.91
ACCT-000014,CUST-000014,BR-011,2026-M02,29945.61,27328.86
ACCT-000014,CUST-000014,BR-011,2026-M03,29074.14,27254.7
ACCT-000014,CUST-000014,BR-011,2026-M04,30771.62,29028.53
ACCT-000014,CUST-000014,BR-011,2026-M05,30308.82,28052.72
ACCT-000014,CUST-000014,BR-011,2026-M06,30603.66,27924.47
ACCT-000014,CUST-000014,BR-011,2026-M07,30340.85,27948.12
ACCT-000014,CUST-000014,BR-011,2026-M08,30120.03,28006.59
ACCT-000014,CUST-000014,BR-011,2026-M09,30319.43,28445.97
ACCT-000014,CUST-000014,BR-011,2026-M10,30360.73,28048.83
ACCT-000014,CUST-000014,BR-011,2026-M11,31465.05,28728.06
ACCT-000014,CUST-000014,BR-011,2026-M12,29091.21,26720.13
ACCT-000015,CUST-000015,BR-004,2026-M03,50967.85,48611.04
ACCT-000015,CUST-000015,BR-004,2026-M04,50307.89,46660.53
ACCT-000015,CUST-000015,BR-004,2026-M05,50901.37,49214.49
ACCT-000015,CUST-000015,BR-004,2026-M06,51046.42,48566.25
ACCT-000015,CUST-000015,BR-004,2026-M07,47448.91,45467.22
ACCT-000015,CUST-000015,BR-004,2026-M08,51373.36,47486.09
ACCT-000015,CUST-000015,BR-004,2026-M09,48816.31,46338.7
ACCT-000015,CUST-000015,BR-004,2026-M10,50150.42,47218.79
ACCT-000015,CUST-000015,BR-004,2026-M11,53264.68,48823.23
ACCT-000015,CUST-000015,BR-004,2026-M12,54474.83,52690.73
ACCT-000016,CUST-000016,BR-005,2025-M05,9319.57,8921.92
ACCT-000016,CUST-000016,BR-005,2025-M06,9016.68,8592.46
ACCT-000016,CUST-000016,BR-005,2025-M07,8983.03,8614.55
ACCT-000016,CUST-000016,BR-005,2025-M08,9109.86,8371.07
ACCT-000016,CUST-000016,BR-005,2025-M09,9148.36,8619.21
ACCT-000016,CUST-000016,BR-005,2025-M10,8967.22,8520.91
ACCT-000016,CUST-000016,BR-005,2025-M11,9293.73,8613.86
ACCT-000016,CUST-000016,BR-005,2025-M12,9410.5,8794.71
ACCT-000016,CUST-000016,BR-005,2026-M01,9741.58,9308.7
ACCT-000016,CUST-000016,BR-005,2026-M02,9781.55,9075.47
ACCT-000016,CUST-000016,BR-005,2026-M03,10191.87,9371.09
ACCT-000016,CUST-000016,BR-005,2026-M04,10219.41,9504.12
ACCT-000016,CUST-000016,BR-005,2026-M05,9771.04,9430.88
ACCT-000016,CUST-000016,BR-005,2026-M06,10378.52,10032.02
ACCT-000016,CUST-000016,BR-005,2026-M07,10539.32,10197.0
ACCT-000016,CUST-000016,BR-005,2026-M08,10316.33,9652.05
ACCT-000016,CUST-000016,BR-005,2026-M09,10026.47,9426.81
ACCT-000016,CUST-000016,BR-005,2026-M10,10365.81,9692.48
ACCT-000016,CUST-000016,BR-005,2026-M11,11165.44,10225.79
ACCT-000016,CUST-000016,BR-005,2026-M12,10559.45,10079.36
ACCT-000017,CUST-000017,BR-011,2026-M05,4771.63,4454.86
ACCT-000017,CUST-000017,BR-011,2026-M06,4749.08,4389.01
ACCT-000017,CUST-000017,BR-011,2026-M07,4711.14,4557.41
ACCT-000017,CUST-000017,BR-011,2026-M08,4511.83,4297.84
ACCT-000017,CUST-000017,BR-011,2026-M09,4665.39,4478.7
ACCT-000017,CUST-000017,BR-011,2026-M10,4583.95,4171.55
ACCT-000017,CUST-000017,BR-011,2026-M11,4745.63,4403.9
ACCT-000017,CUST-000017,BR-011,2026-M12,4979.66,4703.6
ACCT-000018,CUST-000018,BR-007,2025-M01,2137.14,2038.41
ACCT-000018,CUST-000018,BR-007,2025-M02,2242.36,2077.54
ACCT-000018,CUST-000018,BR-007,2025-M03,2218.52,2072.58
ACCT-000018,CUST-000018,BR-007,2025-M04,2297.15,2106.9
ACCT-000018,CUST-000018,BR-007,2025-M05,2168.64,2019.9
ACCT-000018,CUST-000018,BR-007,2025-M06,2164.55,2003.34
ACCT-000018,CUST-000018,BR-007,2025-M07,2186.27,2024.02
ACCT-000018,CUST-000018,BR-007,2025-M08,2163.03,2013.83
ACCT-000018,CUST-000018,BR-007,2025-M09,2293.3,2184.55
ACCT-000018,CUST-000018,BR-007,2025-M10,2341.33,2228.71
ACCT-000018,CUST-000018,BR-007,2025-M11,2323.84,2199.11
ACCT-000018,CUST-000018,BR-007,2025-M12,2334.82,2170.64
ACCT-000018,CUST-000018,BR-007,2026-M01,2292.75,2192.59
ACCT-000018,CUST-000018,BR-007,2026-M02,2445.45,2232.64
ACCT-000018,CUST-000018,BR-007,2026-M03,2482.36,2396.84
ACCT-000018,CUST-000018,BR-007,2026-M04,2579.53,2413.72
ACCT-000018,CUST-000018,BR-007,2026-M05,2515.43,2372.46
ACCT-000018,CUST-000018,BR-007,2026-M06,2576.74,2367.95
ACCT-000018,CUST-000018,BR-007,2026-M07,2431.35,2218.9
ACCT-000018,CUST-000018,BR-007,2026-M08,2321.19,2168.84
ACCT-000018,CUST-000018,BR-007,2026-M09,2314.23,2219.85
ACCT-000018,CUST-000018,BR-007,2026-M10,2365.26,2196.36
ACCT-000018,CUST-000018,BR-007,2026-M11,2299.95,2208.53
ACCT-000018,CUST-000018,BR-007,2026-M12,2582.69,2357.49
ACCT-000019,CUST-000019,BR-001,2026-M01,3991.5,3811.46
ACCT-000019,CUST-000019,BR-001,2026-M02,4283.03,4094.8
ACCT-000019,CUST-000019,BR-001,2026-M03,4253.69,4003.82
ACCT-000019,CUST-000019,BR-001,2026-M04,4248.19,3866.05
ACCT-000019,CUST-000019,BR-001,2026-M05,4341.53,4040.67
ACCT-000019,CUST-000019,BR-001,2026-M06,4184.13,3862.42
ACCT-000019,CUST-000019,BR-001,2026-M07,4208.31,3893.41
ACCT-000019,CUST-000019,BR-001,2026-M08,4081.41,3874.49
ACCT-000019,CUST-000019,BR-001,2026-M09,4354.35,4178.88
ACCT-000019,CUST-000019,BR-001,2026-M10,4252.86,3941.31
ACCT-000019,CUST-000019,BR-001,2026-M11,4616.57,4312.99
ACCT-000019,CUST-000019,BR-001,2026-M12,4520.4,4209.28
ACCT-000020,CUST-000020,BR-009,2026-M05,32470.17,31253.0
ACCT-000020,CUST-000020,BR-009,2026-M06,30349.96,28476.15
ACCT-000020,CUST-000020,BR-009,2026-M07,32464.4,31234.87
ACCT-000020,CUST-000020,BR-009,2026-M08,33186.38,31708.34
ACCT-000020,CUST-000020,BR-009,2026-M09,32965.7,30568.27
ACCT-000020,CUST-000020,BR-009,2026-M10,32093.02,30376.79
ACCT-000020,CUST-000020,BR-009,2026-M11,34011.32,32191.99
ACCT-000020,CUST-000020,BR-009,2026-M12,35491.98,33901.8
ACCT-000021,CUST-000021,BR-003,2025-M09,1133.9,1081.21
ACCT-000021,CUST-000021,BR-003,2025-M10,1139.07,1099.44
ACCT-000021,CUST-000021,BR-003,2025-M11,1186.5,1097.69
ACCT-000021,CUST-000021,BR-003,2025-M12,1218.84,1118.34
ACCT-000021,CUST-000021,BR-003,2026-M01,1256.1,1215.48
ACCT-000021,CUST-000021,BR-003,2026-M02,1290.23,1188.81
ACCT-000021,CUST-000021,BR-003,2026-M03,1321.23,1270.49
ACCT-000021,CUST-000021,BR-003,2026-M04,1252.32,1166.49
ACCT-000021,CUST-000021,BR-003,2026-M05,1298.58,1242.09
ACCT-000021,CUST-000021,BR-003,2026-M06,1282.53,1184.39
ACCT-000021,CUST-000021,BR-003,2026-M07,1278.48,1228.86
ACCT-000021,CUST-000021,BR-003,2026-M08,1182.37,1107.93
ACCT-000021,CUST-000021,BR-003,2026-M09,1260.73,1206.59
ACCT-000021,CUST-000021,BR-003,2026-M10,1304.99,1262.06
ACCT-000021,CUST-000021,BR-003,2026-M11,1326.07,1218.29
ACCT-000021,CUST-000021,BR-003,2026-M12,1332.98,1282.15
ACCT-000025,CUST-000025,BR-009,2025-M01,34842.15,33339.94
ACCT-000025,CUST-000025,BR-009,2025-M02,35332.72,32649.64
ACCT-000025,CUST-000025,BR-009,2025-M03,35330.34,33636.44
ACCT-000025,CUST-000025,BR-009,2025-M04,35298.76,33752.05
ACCT-000025,CUST-000025,BR-009,2025-M05,36169.01,35027.59
ACCT-000025,CUST-000025,BR-009,2025-M06,36104.24,33081.02
ACCT-000025,CUST-000025,BR-009,2025-M07,35546.94,32980.57
ACCT-000025,CUST-000025,BR-009,2025-M08,36533.04,35423.48
ACCT-000025,CUST-000025,BR-009,2025-M09,35840.51,34505.79
ACCT-000025,CUST-000025,BR-009,2025-M10,36261.91,33005.45
ACCT-000025,CUST-000025,BR-009,2025-M11,36698.11,33615.97
ACCT-000025,CUST-000025,BR-009,2025-M12,38270.98,34977.57
ACCT-000025,CUST-000025,BR-009,2026-M01,39593.56,37529.02
ACCT-000025,CUST-000025,BR-009,2026-M02,39005.12,37402.06
ACCT-000025,CUST-000025,BR-009,2026-M03,39209.98,35855.17
ACCT-000025,CUST-000025,BR-009,2026-M04,41272.66,39159.27
ACCT-000025,CUST-000025,BR-009,2026-M05,39846.89,36734.36
ACCT-000025,CUST-000025,BR-009,2026-M06,35851.13,34422.63
ACCT-000025,CUST-000025,BR-009,2026-M07,40037.4,36936.73
ACCT-000025,CUST-000025,BR-009,2026-M08,36758.18,33664.1
ACCT-000025,CUST-000025,BR-009,2026-M09,37410.56,35433.55
ACCT-000025,CUST-000025,BR-009,2026-M10,37142.57,35089.17
ACCT-000025,CUST-000025,BR-009,2026-M11,36249.76,33966.34
ACCT-000025,CUST-000025,BR-009,2026-M12,39654.94,38276.45
ACCT-000026,CUST-000026,BR-006,2025-M01,6723.69,6141.0
ACCT-000026,CUST-000026,BR-006,2025-M02,6811.61,6514.19
ACCT-000026,CUST-000026,BR-006,2025-M03,6840.52,6445.47
ACCT-000026,CUST-000026,BR-006,2025-M04,7036.5,6491.18
ACCT-000026,CUST-000026,BR-006,2025-M05,6922.16,6627.61
ACCT-000026,CUST-000026,BR-006,2025-M06,6902.23,6625.73
ACCT-000026,CUST-000026,BR-006,2025-M07,6763.31,6341.82
ACCT-000026,CUST-000026,BR-006,2025-M08,6772.34,6330.55
ACCT-000026,CUST-000026,BR-006,2025-M09,6540.94,6158.92
ACCT-000026,CUST-000026,BR-006,2025-M10,6696.81,6476.29
ACCT-000026,CUST-000026,BR-006,2025-M11,7120.72,6732.93
ACCT-000026,CUST-000026,BR-006,2025-M12,7052.52,6786.05
ACCT-000026,CUST-000026,BR-006,2026-M01,7271.98,7051.7
ACCT-000026,CUST-000026,BR-006,2026-M02,7436.98,6805.22
ACCT-000026,CUST-000026,BR-006,2026-M03,7553.5,6913.07
ACCT-000026,CUST-000026,BR-006,2026-M04,7228.74,6724.2
ACCT-000026,CUST-000026,BR-006,2026-M05,7072.48,6787.34
ACCT-000026,CUST-000026,BR-006,2026-M06,7297.48,6687.22
ACCT-000026,CUST-000026,BR-006,2026-M07,7026.08,6617.98
ACCT-000026,CUST-000026,BR-006,2026-M08,6992.1,6509.53
ACCT-000026,CUST-000026,BR-006,2026-M09,7011.68,6659.06
ACCT-000026,CUST-000026,BR-006,2026-M10,6792.97,6224.06
ACCT-000026,CUST-000026,BR-006,2026-M11,7052.56,6467.53
ACCT-000026,CUST-000026,BR-006,2026-M12,6968.78,6476.42
ACCT-000027,CUST-000027,BR-012,2026-M09,20989.27,19511.35
ACCT-000027,CUST-000027,BR-012,2026-M10,21734.37,20708.64
ACCT-000027,CUST-000027,BR-012,2026-M11,23228.11,21969.84
ACCT-000027,CUST-000027,BR-012,2026-M12,22815.79,21116.91
ACCT-000029,CUST-000029,BR-007,2025-M03,10616.23,10211.36
ACCT-000029,CUST-000029,BR-007,2025-M04,10594.61,10220.12
ACCT-000029,CUST-000029,BR-007,2025-M05,10267.16,9837.12
ACCT-000029,CUST-000029,BR-007,2025-M06,10792.3,10275.08
ACCT-000029,CUST-000029,BR-007,2025-M07,10890.83,10474.12
ACCT-000029,CUST-000029,BR-007,2025-M08,10888.16,10206.41
ACCT-000029,CUST-000029,BR-007,2025-M09,11202.45,10619.87
