account_id,customer_id,branch_id,product_id,account_open_date,account_status,current_balance_usd
ACCT-000025,CUST-000025,BR-009,PRD-003,2024-08-01,Active,36322.41
ACCT-000026,CUST-000026,BR-006,PRD-001,2024-06-15,Active,6964.91
ACCT-000027,CUST-000027,BR-012,PRD-003,2026-09-25,Active,25317.11
ACCT-000028,CUST-000028,BR-003,PRD-006,2026-05-05,Delinquent,6629.55
ACCT-000029,CUST-000029,BR-007,PRD-002,2025-03-28,Active,11329.86
ACCT-000030,CUST-000030,BR-011,PRD-002,2026-01-28,Active,20966.02
ACCT-000031,CUST-000031,BR-012,PRD-001,2024-06-12,Active,3689.36
ACCT-000032,CUST-000032,BR-012,PRD-001,2024-02-22,Active,13509.55
ACCT-000033,CUST-000033,BR-003,PRD-003,2025-05-12,Active,62227.26
ACCT-000034,CUST-000034,BR-009,PRD-001,2025-05-10,Dormant,14483.44
ACCT-000035,CUST-000035,BR-011,PRD-004,2026-05-03,Restricted,7590.68
ACCT-000036,CUST-000036,BR-005,PRD-004,2025-11-15,Dormant,6779.47
ACCT-000037,CUST-000037,BR-009,PRD-003,2025-01-08,Active,10649.94
ACCT-000038,CUST-000038,BR-011,PRD-005,2024-12-15,Active,16047.94
ACCT-000039,CUST-000039,BR-007,PRD-005,2026-02-17,Active,14050.56
ACCT-000040,CUST-000040,BR-006,PRD-003,2026-07-08,Active,53888.54
ACCT-000041,CUST-000041,BR-002,PRD-002,2026-05-12,Dormant,10084.8
ACCT-000042,CUST-000042,BR-011,PRD-001,2025-06-27,Active,11571.02
ACCT-000043,CUST-000043,BR-012,PRD-004,2026-07-11,Dormant,8457.3
ACCT-000044,CUST-000044,BR-001,PRD-001,2024-12-16,Dormant,12942.07
ACCT-000045,CUST-000045,BR-008,PRD-002,2026-07-22,Active,26493.05
ACCT-000046,CUST-000046,BR-002,PRD-001,2025-09-03,Active,8929.14
ACCT-000047,CUST-000047,BR-003,PRD-004,2025-12-15,Dormant,3093.29
ACCT-000048,CUST-000048,BR-010,PRD-003,2025-09-28,Active,30400.31
ACCT-000049,CUST-000049,BR-012,PRD-006,2026-02-06,Active,4576.71
ACCT-000050,CUST-000050,BR-004,PRD-005,2026-09-05,Active,29549.79
ACCT-000051,CUST-000051,BR-001,PRD-004,2024-05-05,Active,7131.5
ACCT-000052,CUST-000052,BR-008,PRD-004,2025-07-09,Restricted,1833.35
ACCT-000053,CUST-000053,BR-002,PRD-001,2026-09-26,Active,11839.63
ACCT-000054,CUST-000054,BR-012,PRD-002,2026-02-05,Active,55143.97
ACCT-000055,CUST-000055,BR-004,PRD-005,2024-02-22,Active,21782.47
ACCT-000056,CUST-000056,BR-011,PRD-002,2026-09-30,Dormant,17174.36
ACCT-000057,CUST-000057,BR-003,PRD-005,2025-03-03,Active,29985.24
ACCT-000058,CUST-000058,BR-003,PRD-005,2025-07-19,Active,14696.77
ACCT-000059,CUST-000059,BR-006,PRD-001,2026-04-19,Active,3930.44
ACCT-000060,CUST-000060,BR-012,PRD-001,2024-02-29,Active,11271.67
ACCT-000061,CUST-000061,BR-010,PRD-005,2025-12-25,Active,26284.6
ACCT-000062,CUST-000062,BR-009,PRD-005,2026-01-24,Active,2523.15
ACCT-000063,CUST-000063,BR-011,PRD-004,2024-08-31,Active,8451.14
ACCT-000064,CUST-000064,BR-006,PRD-003,2024-01-18,Active,22294.22
ACCT-000065,CUST-000065,BR-004,PRD-001,2025-11-23,Active,11810.66
ACCT-000066,CUST-000066,BR-009,PRD-004,2026-06-29,Active,3510.69
ACCT-000067,CUST-000067,BR-005,PRD-002,2026-05-11,Active,24806.42
ACCT-000068,CUST-000068,BR-011,PRD-003,2024-10-30,Active,21146.52
ACCT-000069,CUST-000069,BR-006,PRD-001,2025-02-10,Active,7133.75
ACCT-000070,CUST-000070,BR-011,PRD-001,2024-07-18,Dormant,9437.87
ACCT-000071,CUST-000071,BR-006,PRD-005,2026-01-01,Delinquent,30513.43
ACCT-000072,CUST-000072,BR-008,PRD-002,2024-10-26,Active,26587.85
ACCT-000073,CUST-000073,BR-002,PRD-006,2025-08-03,Closed,5453.65
ACCT-000074,CUST-000074,BR-009,PRD-002,2025-09-03,Active,46256.1
ACCT-000075,CUST-000075,BR-003,PRD-001,2025-05-27,Active,6975.47
ACCT-000076,CUST-000076,BR-001,PRD-001,2024-03-09,Active,2973.06
ACCT-000077,CUST-000077,BR-004,PRD-004,2025-04-06,Active,2637.8
ACCT-000078,CUST-000078,BR-006,PRD-006,2025-02-28,Delinquent,16901.56
ACCT-000079,CUST-000079,BR-007,PRD-001,2025-07-05,Dormant,4114.34
ACCT-000080,CUST-000080,BR-005,PRD-002,2024-09-02,Active,18264.79
ACCT-000081,CUST-000081,BR-004,PRD-004,2025-06-19,Active,8036.34
ACCT-000082,CUST-000082,BR-008,PRD-002,2025-10-25,Active,16582.61
ACCT-000083,CUST-000083,BR-004,PRD-001,2024-11-25,Dormant,5998.61
ACCT-000084,CUST-000084,BR-001,PRD-003,2024-10-14,Active,18066.24
ACCT-000085,CUST-000085,BR-004,PRD-005,2026-03-17,Delinquent,24791.09
ACCT-000086,CUST-000086,BR-011,PRD-006,2025-04-25,Active,17070.94
ACCT-000087,CUST-000087,BR-004,PRD-006,2026-04-06,Closed,15876.99
ACCT-000088,CUST-000088,BR-006,PRD-003,2024-07-05,Active,7839.2
ACCT-000089,CUST-000089,BR-004,PRD-004,2024-04-24,Dormant,2772.85
ACCT-000090,CUST-000090,BR-010,PRD-002,2025-05-30,Active,46558.15
ACCT-000091,CUST-000091,BR-012,PRD-001,2026-08-30,Active,11398.86
ACCT-000092,CUST-000092,BR-001,PRD-001,2024-09-06,Dormant,10656.51
ACCT-000093,CUST-000093,BR-004,PRD-002,2025-06-16,Active,53093.98
ACCT-000094,CUST-000094,BR-011,PRD-002,2024-04-24,Active,45707.17
ACCT-000095,CUST-000095,BR-011,PRD-001,2025-12-01,Dormant,10953.34
ACCT-000096,CUST-000096,BR-006,PRD-002,2025-02-08,Active,10599.26
ACCT-000097,CUST-000097,BR-004,PRD-005,2024-05-06,Active,16782.22
ACCT-000098,CUST-000098,BR-002,PRD-003,2025-06-04,Active,56686.75
ACCT-000099,CUST-000099,BR-001,PRD-002,2024-12-12,Active,48065.92
ACCT-000100,CUST-000100,BR-006,PRD-001,2026-05-08,Dormant,3841.16
ACCT-000101,CUST-000101,BR-008,PRD-003,2024-09-11,Active,65437.82
ACCT-000102,CUST-000102,BR-011,PRD-001,2025-11-19,Active,3017.7
ACCT-000103,CUST-000103,BR-003,PRD-001,2026-07-28,Active,13942.86
ACCT-000104,CUST-000104,BR-011,PRD-001,2025-12-15,Active,13337.72
ACCT-000105,CUST-000105,BR-004,PRD-006,2024-05-20,Closed,7290.48
ACCT-000106,CUST-000106,BR-012,PRD-001,2024-07-13,Active,7056.15
ACCT-000107,CUST-000107,BR-009,PRD-001,2025-09-15,Dormant,1677.38
ACCT-000108,CUST-000108,BR-003,PRD-005,2025-08-23,Active,27440.42
ACCT-000109,CUST-000109,BR-004,PRD-004,2026-05-07,Active,6749.29
ACCT-000110,CUST-000110,BR-011,PRD-005,2026-02-24,Active,30427.39
ACCT-000111,CUST-000111,BR-003,PRD-002,2026-07-18,Dormant,20873.94
ACCT-000112,CUST-000112,BR-011,PRD-002,2026-09-18,Active,22863.97
ACCT-000113,CUST-000113,BR-002,PRD-005,2024-11-18,Delinquent,21232.55
ACCT-000114,CUST-000114,BR-004,PRD-002,2024-08-19,Dormant,5369.25
ACCT-000115,CUST-000115,BR-010,PRD-001,2024-03-25,Active,10423.64
ACCT-000116,CUST-000116,BR-005,PRD-001,2024-01-24,Active,7362.81
ACCT-000117,CUST-000117,BR-011,PRD-004,2025-12-18,Active,3123.28
ACCT-000118,CUST-000118,BR-002,PRD-003,2026-06-24,Dormant,6035.96
ACCT-000119,CUST-000119,BR-003,PRD-001,2024-05-18,Active,13723.85
ACCT-000120,CUST-000120,BR-001,PRD-003,2024-07-05,Active,72022.99
ACCT-000121,CUST-000121,BR-002,PRD-001,2026-09-30,Active,12612.51
ACCT-000122,CUST-000122,BR-007,PRD-003,2026-09-27,Active,84507.73
ACCT-000123,CUST-000123,BR-005,PRD-006,2024-05-11,Active,10391.36
ACCT-000124,CUST-000124,BR-005,PRD-004,2025-06-28,Restricted,2277.02
ACCT-000125,CUST-000125,BR-009,PRD-003,2024-03-02,Active,5695.32
ACCT-000126,CUST-000126,BR-002,PRD-004,2024-10-27,Dormant,6107.64
ACCT-000127,CUST-000127,BR-003,PRD-003,2024-01-20,Active,71498.72
ACCT-000128,CUST-000128,BR-002,PRD-005,2024-09-02,Active,16017.43
ACCT-000129,CUST-000129,BR-008,PRD-003,2025-09-06,Active,61992.32
ACCT-000130,CUST-000130,BR-007,PRD-004,2025-02-05,Active,7576.48
ACCT-000131,CUST-000131,BR-010,PRD-004,2025-08-04,Dormant,3133.9
ACCT-000132,CUST-000132,BR-002,PRD-003,2025-03-10,Active,16146.31
ACCT-000133,CUST-000133,BR-012,PRD-005,2024-01-16,Closed,28222.73
ACCT-000134,CUST-000134,BR-006,PRD-001,2025-02-23,Dormant,5050.11
ACCT-000135,CUST-000135,BR-008,PRD-004,2025-02-12,Active,1997.12
ACCT-000136,CUST-000136,BR-005,PRD-001,2026-08-24,Active,2049.57
ACCT-000137,CUST-000137,BR-012,PRD-006,2026-05-17,Active,18323.94
ACCT-000138,CUST-000138,BR-005,PRD-004,2025-04-17,Active,1343.47
ACCT-000139,CUST-000139,BR-008,PRD-003,2025-01-22,Dormant,56466.05
ACCT-000140,CUST-000140,BR-002,PRD-004,2026-01-15,Restricted,5455.02
ACCT-000141,CUST-000141,BR-012,PRD-001,2025-08-01,Dormant,9384.32
ACCT-000142,CUST-000142,BR-009,PRD-005,2026-05-25,Active,22784.64
ACCT-000143,CUST-000143,BR-001,PRD-004,2024-07-30,Active,3105.03
ACCT-000144,CUST-000144,BR-003,PRD-002,2026-09-12,Active,13503.99
ACCT-000145,CUST-000145,BR-012,PRD-002,2026-06-16,Active,18599.41
ACCT-000146,CUST-000146,BR-005,PRD-003,2025-09-09,Active,25815.14
ACCT-000147,CUST-000147,BR-005,PRD-003,2025-02-25,Dormant,33512.48
ACCT-000148,CUST-000148,BR-007,PRD-002,2026-08-11,Active,51958.94
ACCT-000149,CUST-000149,BR-005,PRD-002,2025-01-26,Active,46841.37
ACCT-000150,CUST-000150,BR-004,PRD-004,2024-06-15,Active,2037.13
ACCT-000151,CUST-000151,BR-001,PRD-001,2026-08-22,Active,13223.62
ACCT-000152,CUST-000152,BR-006,PRD-006,2026-01-27,Active,11040.82
ACCT-000153,CUST-000153,BR-006,PRD-001,2024-07-24,Active,8193.14
ACCT-000154,CUST-000154,BR-001,PRD-001,2025-04-19,Active,8986.25
ACCT-000155,CUST-000155,BR-001,PRD-006,2025-04-30,Delinquent,3536.88
ACCT-000156,CUST-000156,BR-009,PRD-001,2025-05-16,Active,9897.72
ACCT-000157,CUST-000157,BR-002,PRD-004,2024-10-30,Restricted,861.08
ACCT-000158,CUST-000158,BR-010,PRD-006,2026-07-05,Active,8276.31
ACCT-000159,CUST-000159,BR-005,PRD-001,2026-08-20,Active,3496.51
ACCT-000160,CUST-000160,BR-012,PRD-003,2024-11-05,Active,71398.8
ACCT-000161,CUST-000161,BR-006,PRD-005,2024-04-18,Active,26130.85
ACCT-000162,CUST-000162,BR-005,PRD-001,2025-07-04,Active,11109.97
ACCT-000163,CUST-000163,BR-006,PRD-005,2024-06-23,Active,16676.95
ACCT-000164,CUST-000164,BR-007,PRD-002,2026-01-09,Active,55966.35
ACCT-000165,CUST-000165,BR-011,PRD-004,2025-02-23,Active,4611.42
ACCT-000166,CUST-000166,BR-001,PRD-006,2024-08-04,Delinquent,13959.01
ACCT-000167,CUST-000167,BR-003,PRD-001,2026-06-19,Active,7646.98
ACCT-000168,CUST-000168,BR-003,PRD-001,2026-05-09,Active,13391.84
ACCT-000169,CUST-000169,BR-001,PRD-001,2025-04-01,Active,6976.74
ACCT-000170,CUST-000170,BR-002,PRD-005,2026-05-18,Closed,15286.49
ACCT-000171,CUST-000171,BR-007,PRD-001,2025-06-24,Active,3419.36
ACCT-000172,CUST-000172,BR-004,PRD-006,2024-06-12,Active,1209.83
ACCT-000173,CUST-000173,BR-001,PRD-003,2026-02-28,Active,73816.47
ACCT-000174,CUST-000174,BR-004,PRD-003,2025-05-15,Active,6151.29
ACCT-000175,CUST-000175,BR-005,PRD-002,2025-06-25,Active,12639.86
ACCT-000176,CUST-000176,BR-005,PRD-006,2024-05-07,Closed,4095.41
ACCT-000177,CUST-000177,BR-011,PRD-001,2026-08-21,Active,4966.27
ACCT-000178,CUST-000178,BR-012,PRD-001,2024-08-01,Active,6183.46
ACCT-000179,CUST-000179,BR-005,PRD-006,2024-05-03,Delinquent,5190.75
ACCT-000180,CUST-000180,BR-011,PRD-002,2025-09-05,Dormant,32011.74
ACCT-000181,CUST-000181,BR-007,PRD-001,2025-06-20,Active,12373.68
ACCT-000182,CUST-000182,BR-002,PRD-004,2026-04-06,Dormant,2097.55
ACCT-000183,CUST-000183,BR-011,PRD-006,2024-06-12,Active,5532.49
ACCT-000184,CUST-000184,BR-007,PRD-002,2024-03-01,Active,36616.91
ACCT-000185,CUST-000185,BR-008,PRD-004,2025-09-28,Dormant,8419.79
ACCT-000186,CUST-000186,BR-010,PRD-006,2024-08-01,Active,12255.17
ACCT-000187,CUST-000187,BR-004,PRD-001,2025-10-13,Dormant,13551.01
ACCT-000188,CUST-000188,BR-004,PRD-001,2024-10-13,Active,7828.87
ACCT-000189,CUST-000189,BR-010,PRD-001,2024-05-19,Dormant,4640.31
ACCT-000190,CUST-000190,BR-006,PRD-006,2025-02-12,Active,18251.25
ACCT-000191,CUST-000191,BR-005,PRD-002,2026-01-05,Dormant,54741.98
ACCT-000192,CUST-000192,BR-008,PRD-003,2025-09-02,Active,27906.18
ACCT-000193,CUST-000193,BR-008,PRD-002,2026-08-11,Active,34647.84
ACCT-000194,CUST-000194,BR-002,PRD-005,2025-11-12,Active,16857.38
ACCT-000195,CUST-000195,BR-012,PRD-006,2025-04-04,Delinquent,8263.99
ACCT-000196,CUST-000196,BR-004,PRD-003,2026-10-02,Active,33819.88
ACCT-000197,CUST-000197,BR-010,PRD-002,2025-10-30,Active,11124.65
ACCT-000198,CUST-000198,BR-009,PRD-004,2025-01-08,Active,7266.8
ACCT-000199,CUST-000199,BR-011,PRD-004,2025-08-01,Active,2129.91
ACCT-000200,CUST-000200,BR-009,PRD-002,2026-06-30,Active,35022.94
ACCT-000201,CUST-000201,BR-005,PRD-002,2024-12-11,Active,21716.24
ACCT-000202,CUST-000202,BR-004,PRD-001,2024-05-07,Active,9630.6
ACCT-000203,CUST-000203,BR-002,PRD-004,2025-11-02,Active,785.81
ACCT-000204,CUST-000204,BR-011,PRD-001,2024-11-23,Active,8581.44
ACCT-000205,CUST-000205,BR-012,PRD-001,2026-05-26,Active,12360.41
ACCT-000206,CUST-000206,BR-003,PRD-001,2024-05-10,Active,8932.91
ACCT-000207,CUST-000207,BR-004,PRD-004,2024-10-14,Active,3903.53
ACCT-000208,CUST-000208,BR-009,PRD-003,2024-07-27,Active,76892.66
ACCT-000209,CUST-000209,BR-007,PRD-006,2025-12-14,Closed,1390.59
ACCT-000210,CUST-000210,BR-009,PRD-004,2024-09-21,Active,7707.21
ACCT-000211,CUST-000211,BR-009,PRD-002,2026-09-12,Active,12402.22
ACCT-000212,CUST-000212,BR-007,PRD-002,2024-02-06,Active,40959.23
ACCT-000213,CUST-000213,BR-012,PRD-002,2025-09-06,Active,37567.9
ACCT-000214,CUST-000214,BR-011,PRD-002,2026-05-21,Dormant,31667.56
ACCT-000215,CUST-000215,BR-009,PRD-004,2025-05-14,Active,4187.17
ACCT-000216,CUST-000216,BR-010,PRD-006,2024-09-13,Active,5082.39
ACCT-000217,CUST-000217,BR-004,PRD-006,2026-05-07,Active,7293.28
ACCT-000218,CUST-000218,BR-012,PRD-004,2026-02-13,Restricted,402.11
ACCT-000219,CUST-000219,BR-008,PRD-001,2025-04-07,Active,9462.73
ACCT-000220,CUST-000220,BR-008,PRD-001,2024-10-20,Active,11339.58
ACCT-000221,CUST-000221,BR-005,PRD-001,2025-02-22,Dormant,10420.64
ACCT-000222,CUST-000222,BR-004,PRD-001,2026-05-14,Active,7071.57
ACCT-000223,CUST-000223,BR-001,PRD-005,2024-12-12,Delinquent,9423.19
ACCT-000224,CUST-000224,BR-003,PRD-005,2024-05-20,Active,8794.68
ACCT-000225,CUST-000225,BR-002,PRD-006,2025-02-03,Active,8360.99
ACCT-000226,CUST-000226,BR-012,PRD-002,2024-06-04,Active,50167.27
ACCT-000227,CUST-000227,BR-011,PRD-006,2026-08-02,Closed,4683.33
ACCT-000228,CUST-000228,BR-012,PRD-005,2024-05-27,Closed,2910.82
ACCT-000229,CUST-000229,BR-006,PRD-004,2026-06-11,Dormant,8103.41
ACCT-000230,CUST-000230,BR-009,PRD-001,2026-04-22,Active,11146.72
ACCT-000231,CUST-000231,BR-007,PRD-003,2025-07-18,Dormant,86361.82
ACCT-000232,CUST-000232,BR-004,PRD-004,2025-11-22,Dormant,4790.17
ACCT-000233,CUST-000233,BR-001,PRD-003,2026-10-11,Active,81210.65
ACCT-000234,CUST-000234,BR-002,PRD-004,2024-04-05,Restricted,5321.58
ACCT-000235,CUST-000235,BR-004,PRD-002,2024-11-22,Active,36023.15
ACCT-000236,CUST-000236,BR-003,PRD-004,2024-02-28,Active,6353.1
ACCT-000237,CUST-000237,BR-004,PRD-005,2026-03-11,Active,23271.73
ACCT-000238,CUST-000238,BR-012,PRD-002,2025-02-24,Dormant,30458.25
ACCT-000239,CUST-000239,BR-009,PRD-003,2026-03-25,Active,31861.27
ACCT-000240,CUST-000240,BR-003,PRD-001,2026-06-28,Dormant,10723.71
ACCT-000241,CUST-000241,BR-011,PRD-001,2024-04-06,Active,2823.52
ACCT-000242,CUST-000242,BR-004,PRD-001,2024-03-13,Active,6914.5
ACCT-000243,CUST-000243,BR-002,PRD-005,2025-03-22,Closed,23396.59
ACCT-000244,CUST-000244,BR-005,PRD-005,2025-10-17,Active,26983.45
ACCT-000245,CUST-000245,BR-001,PRD-005,2024-06-05,Active,26759.25
ACCT-000246,CUST-000246,BR-007,PRD-005,2025-07-06,Active,20093.69
ACCT-000247,CUST-000247,BR-006,PRD-004,2025-02-07,Dormant,2377.63
ACCT-000248,CUST-000248,BR-004,PRD-003,2026-01-26,Active,93835.3
ACCT-000249,CUST-000249,BR-007,PRD-002,2026-01-31,Active,8950.53
ACCT-000250,CUST-000250,BR-005,PRD-001,2024-08-18,Active,5157.26
ACCT-000251,CUST-000251,BR-012,PRD-001,2024-05-03,Active,7075.57
ACCT-000252,CUST-000252,BR-002,PRD-005,2024-07-06,Delinquent,10554.5
ACCT-000253,CUST-000253,BR-009,PRD-001,2026-09-28,Active,12316.65
ACCT-000254,CUST-000254,BR-003,PRD-002,2025-04-05,Active,51192.99
ACCT-000255,CUST-000255,BR-012,PRD-005,2026-09-06,Active,29655.09
ACCT-000256,CUST-000256,BR-008,PRD-004,2024-08-12,Restricted,1206.17
ACCT-000257,CUST-000257,BR-004,PRD-003,2026-01-12,Dormant,48114.54
ACCT-000258,CUST-000258,BR-009,PRD-005,2025-07-11,Active,6766.94
ACCT-000259,CUST-000259,BR-006,PRD-001,2024-01-29,Active,1020.32
ACCT-000260,CUST-000260,BR-005,PRD-001,2025-05-11,Active,2327.99
ACCT-000261,CUST-000261,BR-004,PRD-005,2026-02-02,Active,14250.52
ACCT-000262,CUST-000262,BR-002,PRD-001,2025-01-29,Active,4306.85
ACCT-000263,CUST-000263,BR-002,PRD-003,2024-11-18,Active,59600.64
ACCT-000264,CUST-000264,BR-008,PRD-001,2025-11-14,Active,9566.39
ACCT-000265,CUST-000265,BR-001,PRD-006,2024-08-12,Active,1438.35
ACCT-000266,CUST-000266,BR-010,PRD-006,2024-06-27,Active,9098.27
ACCT-000267,CUST-000267,BR-010,PRD-006,2025-04-26,Active,15218.23
ACCT-000268,CUST-000268,BR-005,PRD-003,2024-08-04,Active,51894.5
ACCT-000269,CUST-000269,BR-006,PRD-004,2024-07-18,Active,430.11
ACCT-000270,CUST-000270,BR-011,PRD-001,2024-04-18,Active,5229.36
ACCT-000271,CUST-000271,BR-007,PRD-001,2024-07-07,Active,1769.07
ACCT-000272,CUST-000272,BR-003,PRD-002,2024-11-18,Active,56774.64
ACCT-000273,CUST-000273,BR-007,PRD-001,2024-12-28,Active,8859.42
ACCT-000274,CUST-000274,BR-006,PRD-006,2024-07-28,Delinquent,6127.17
ACCT-000275,CUST-000275,BR-009,PRD-001,2024-04-21,Active,9297.82
ACCT-000276,CUST-000276,BR-006,PRD-001,2025-09-18,Dormant,14231.22
ACCT-000277,CUST-000277,BR-012,PRD-005,2026-02-07,Active,15125.22
ACCT-000278,CUST-000278,BR-002,PRD-001,2026-10-11,Active,2426.42
ACCT-000279,CUST-000279,BR-001,PRD-006,2024-12-02,Active,18286.3
ACCT-000280,CUST-000280,BR-011,PRD-001,2026-03-22,Active,6752.99
ACCT-000281,CUST-000281,BR-004,PRD-003,2025-05-16,Dormant,32934.14
ACCT-000282,CUST-000282,BR-004,PRD-002,2026-09-01,Active,58770.56
ACCT-000283,CUST-000283,BR-010,PRD-001,2025-08-14,Active,2202.54
ACCT-000284,CUST-000284,BR-003,PRD-001,2024-07-15,Active,13727.64
ACCT-000285,CUST-000285,BR-001,PRD-002,2025-08-28,Active,32227.58
ACCT-000286,CUST-000286,BR-006,PRD-004,2025-03-09,Active,3745.15
ACCT-000287,CUST-000287,BR-010,PRD-002,2026-07-25,Dormant,32135.13
ACCT-000288,CUST-000288,BR-004,PRD-003,2025-04-11,Dormant,26961.11
ACCT-000289,CUST-000289,BR-005,PRD-004,2025-04-21,Active,7341.13
ACCT-000290,CUST-000290,BR-005,PRD-002,2024-11-19,Active,19651.29
ACCT-000291,CUST-000291,BR-007,PRD-001,2024-04-11,Dormant,5866.94
ACCT-000292,CUST-000292,BR-012,PRD-001,2025-01-29,Active,14167.86
ACCT-000293,CUST-000293,BR-010,PRD-001,2026-01-31,Active,4614.82
ACCT-000294,CUST-000294,BR-012,PRD-003,2026-07-22,Active,39170.7
ACCT-000295,CUST-000295,BR-002,PRD-001,2025-11-10,Active,9972.49
ACCT-000296,CUST-000296,BR-011,PRD-006,2025-02-04,Active,12874.26
ACCT-000297,CUST-000297,BR-012,PRD-001,2024-01-10,Active,5376.33
ACCT-000298,CUST-000298,BR-011,PRD-001,2025-07-24,Active,10492.04
ACCT-000299,CUST-000299,BR-002,PRD-003,2026-05-11,Active,36367.24
ACCT-000300,CUST-000300,BR-003,PRD-001,2025-04-13,Dormant,8443.1
ACCT-000301,CUST-000301,BR-012,PRD-005,2024-12-01,Active,28142.61
ACCT-000302,CUST-000302,BR-011,PRD-001,2025-07-27,Active,901.56
ACCT-000303,CUST-000303,BR-006,PRD-003,2026-02-25,Active,14577.51
ACCT-000304,CUST-000304,BR-003,PRD-006,2025-07-06,Active,14125.02
ACCT-000305,CUST-000305,BR-010,PRD-001,2026-05-14,Active,11768.26
ACCT-000306,CUST-000306,BR-012,PRD-002,2026-06-13,Dormant,37965.8
ACCT-000307,CUST-000307,BR-005,PRD-003,2026-03-27,Active,68707.25
ACCT-000308,CUST-000308,BR-003,PRD-006,2025-07-30,Closed,7108.61
ACCT-000309,CUST-000309,BR-011,PRD-002,2025-03-09,Active,33073.37
ACCT-000310,CUST-000310,BR-002,PRD-005,2024-05-10,Active,7488.3
ACCT-000311,CUST-000311,BR-001,PRD-002,2024-10-18,Active,4790.99
ACCT-000312,CUST-000312,BR-001,PRD-003,2024-01-26,Dormant,27487.92
ACCT-000313,CUST-000313,BR-007,PRD-004,2025-04-13,Active,1143.06
ACCT-000314,CUST-000314,BR-008,PRD-002,2025-11-13,Active,19338.75
ACCT-000315,CUST-000315,BR-002,PRD-002,2024-02-22,Active,19643.87
ACCT-000316,CUST-000316,BR-012,PRD-001,2024-08-07,Active,5707.49
ACCT-000317,CUST-000317,BR-006,PRD-001,2024-12-17,Active,5146.96
ACCT-000318,CUST-000318,BR-003,PRD-005,2025-02-15,Active,4966.31
ACCT-000319,CUST-000319,BR-003,PRD-004,2024-03-31,Active,1917.44
ACCT-000320,CUST-000320,BR-011,PRD-002,2025-10-02,Active,59485.35
ACCT-000321,CUST-000321,BR-005,PRD-003,2024-02-11,Dormant,49487.34
ACCT-000322,CUST-000322,BR-005,PRD-006,2026-10-05,Active,6642.26
ACCT-000323,CUST-000323,BR-003,PRD-002,2025-12-09,Active,46826.37
ACCT-000324,CUST-000324,BR-005,PRD-006,2024-02-26,Closed,16692.23
ACCT-000325,CUST-000325,BR-011,PRD-001,2024-04-29,Active,11201.29
ACCT-000326,CUST-000326,BR-012,PRD-003,2024-06-15,Dormant,31516.59
ACCT-000327,CUST-000327,BR-001,PRD-003,2026-07-09,Dormant,11860.55
ACCT-000328,CUST-000328,BR-009,PRD-002,2025-02-15,Dormant,47125.08
ACCT-000329,CUST-000329,BR-003,PRD-002,2026-08-30,Active,40748.86
ACCT-000330,CUST-000330,BR-007,PRD-006,2024-10-16,Active,14524.23
ACCT-000331,CUST-000331,BR-009,PRD-004,2026-05-31,Restricted,5219.88
ACCT-000332,CUST-000332,BR-002,PRD-005,2026-09-13,Closed,5199.46
ACCT-000333,CUST-000333,BR-008,PRD-005,2024-05-18,Active,14245.48
ACCT-000334,CUST-000334,BR-005,PRD-006,2025-07-11,Active,8954.14
ACCT-000335,CUST-000335,BR-006,PRD-003,2025-12-14,Active,39253.07
