incident_id,branch_id,period_id,channel_id,incident_type,severity,opened_ts,resolved_ts
INC-000031,BR-005,2026-M07,CH-008,branch_network_latency,low,2026-07-29 09:48:00,2026-07-29 13:51:00
INC-000032,BR-005,2026-M08,CH-008,card_dispute_queue,low,2026-08-10 05:44:00,2026-08-10 10:16:00
INC-000033,BR-005,2026-M09,CH-007,branch_network_latency,low,2026-09-10 12:43:00,2026-09-10 16:09:00
INC-000034,BR-005,2026-M10,CH-008,cash_reconciliation_delay,low,2026-10-09 09:19:00,2026-10-09 13:45:00
INC-000035,BR-005,2026-M10,CH-008,branch_network_latency,low,2026-10-30 11:24:00,2026-10-30 18:20:00
INC-000036,BR-006,2026-M01,CH-008,branch_network_latency,medium,2026-01-02 13:10:00,2026-01-02 16:29:00
INC-000037,BR-006,2026-M05,CH-007,atm_outage,critical,2026-05-30 23:42:00,2026-05-31 14:49:00
INC-000038,BR-006,2026-M07,CH-008,branch_network_latency,critical,2026-07-15 06:39:00,2026-07-17 13:20:00
INC-000039,BR-006,2026-M10,CH-007,statement_delivery_issue,critical,2026-10-27 10:41:00,2026-10-28 20:29:00
INC-000040,BR-006,2026-M11,CH-008,atm_outage,medium,2026-11-13 23:51:00,2026-11-14 20:02:00
INC-000041,BR-007,2026-M02,CH-007,branch_network_latency,low,2026-02-02 11:59:00,2026-02-02 19:30:00
INC-000042,BR-007,2026-M03,CH-007,branch_network_latency,medium,2026-03-27 06:05:00,2026-03-28 05:14:00
INC-000043,BR-007,2026-M05,CH-008,statement_delivery_issue,medium,2026-05-20 22:53:00,2026-05-21 08:22:00
INC-000044,BR-007,2026-M07,CH-007,statement_delivery_issue,medium,2026-07-16 11:28:00,2026-07-17 02:55:00
INC-000045,BR-007,2026-M08,CH-008,card_dispute_queue,medium,2026-08-13 23:35:00,2026-08-14 05:33:00
INC-000046,BR-007,2026-M09,CH-007,card_dispute_queue,critical,2026-09-01 22:16:00,2026-09-03 04:06:00
INC-000047,BR-007,2026-M10,CH-007,card_dispute_queue,high,2026-10-22 18:17:00,2026-10-23 05:46:00
INC-000048,BR-007,2026-M11,CH-008,branch_network_latency,high,2026-11-29 00:07:00,2026-11-29 20:50:00
INC-000049,BR-008,2026-M03,CH-008,atm_outage,high,2026-03-18 21:58:00,2026-03-20 03:27:00
INC-000050,BR-008,2026-M04,CH-008,cash_reconciliation_delay,medium,2026-04-04 21:44:00,2026-04-05 15:56:00
INC-000051,BR-008,2026-M05,CH-007,atm_outage,medium,2026-05-25 20:31:00,2026-05-26 17:43:00
INC-000052,BR-008,2026-M08,CH-008,atm_outage,high,2026-08-31 16:32:00,2026-09-01 04:50:00
INC-000053,BR-008,2026-M10,CH-007,card_dispute_queue,medium,2026-10-30 00:01:00,2026-10-30 23:09:00
INC-000054,BR-009,2026-M02,CH-007,cash_reconciliation_delay,medium,2026-02-13 06:12:00,2026-02-14 05:58:00
INC-000055,BR-009,2026-M03,CH-008,cash_reconciliation_delay,medium,2026-03-19 02:15:00,2026-03-19 12:51:00
INC-000056,BR-009,2026-M06,CH-007,statement_delivery_issue,high,2026-06-23 15:28:00,2026-06-24 05:42:00
INC-000057,BR-009,2026-M06,CH-008,cash_reconciliation_delay,low,2026-06-03 12:10:00,2026-06-03 23:17:00
INC-000058,BR-009,2026-M06,CH-008,statement_delivery_issue,high,2026-06-12 21:29:00,2026-06-14 02:00:00
INC-000059,BR-010,2026-M03,CH-007,cash_reconciliation_delay,low,2026-03-08 06:57:00,2026-03-08 13:04:00
INC-000060,BR-010,2026-M08,CH-007,branch_network_latency,high,2026-08-22 19:24:00,2026-08-24 19:04:00
INC-000061,BR-010,2026-M08,CH-007,statement_delivery_issue,low,2026-08-23 03:17:00,2026-08-23 05:45:00
INC-000062,BR-010,2026-M10,CH-008,statement_delivery_issue,high,2026-10-07 02:51:00,2026-10-08 04:47:00
INC-000063,BR-010,2026-M11,CH-008,cash_reconciliation_delay,low,2026-11-21 00:42:00,2026-11-21 02:59:00
INC-000064,BR-011,2026-M01,CH-008,statement_delivery_issue,high,2026-01-07 16:04:00,2026-01-09 03:21:00
INC-000065,BR-011,2026-M03,CH-008,card_dispute_queue,medium,2026-03-31 07:55:00,2026-04-01 06:03:00
INC-000066,BR-011,2026-M03,CH-008,cash_reconciliation_delay,medium,2026-03-06 13:43:00,2026-03-07 06:30:00
INC-000067,BR-011,2026-M07,CH-007,statement_delivery_issue,low,2026-07-09 00:11:00,2026-07-09 05:48:00
INC-000068,BR-011,2026-M10,CH-007,statement_delivery_issue,medium,2026-10-26 10:38:00,2026-10-26 15:13:00
INC-000069,BR-011,2026-M11,CH-008,branch_network_latency,low,2026-11-10 10:14:00,2026-11-10 19:25:00
INC-000070,BR-011,2026-M12,CH-008,statement_delivery_issue,high,2026-12-19 15:18:00,2026-12-20 11:43:00
INC-000071,BR-011,2026-M12,CH-007,statement_delivery_issue,medium,2026-12-10 11:23:00,2026-12-11 03:38:00
INC-000072,BR-012,2026-M01,CH-007,statement_delivery_issue,low,2026-01-08 19:41:00,2026-01-09 02:20:00
INC-000073,BR-012,2026-M02,CH-007,card_dispute_queue,high,2026-02-25 19:41:00,2026-02-27 10:25:00
INC-000074,BR-012,2026-M03,CH-007,cash_reconciliation_delay,medium,2026-03-20 16:26:00,2026-03-21 06:10:00
INC-000075,BR-012,2026-M05,CH-007,cash_reconciliation_delay,high,2026-05-02 14:35:00,2026-05-03 18:16:00
INC-000076,BR-012,2026-M07,CH-007,cash_reconciliation_delay,high,2026-07-07 07:29:00,2026-07-07 22:44:00
INC-000077,BR-012,2026-M09,CH-008,statement_delivery_issue,high,2026-09-13 04:07:00,2026-09-15 03:04:00
INC-000078,BR-012,2026-M10,CH-007,statement_delivery_issue,medium,2026-10-05 08:56:00,2026-10-05 18:44:00
INC-000079,BR-012,2026-M12,CH-007,cash_reconciliation_delay,medium,2026-12-05 03:17:00,2026-12-05 21:07:00
