period_id,branch_id,account_id,gl_account_code,amount_usd,entry_type
2026-M05,BR-001,ACCT-000151,221130,479.81,credit
2026-M05,BR-002,ACCT-000126,610510,371.7,debit
2026-M05,BR-002,ACCT-000126,610275,227.82,debit
2026-M05,BR-002,ACCT-000126,221130,599.52,credit
2026-M05,BR-002,ACCT-000041,610510,426.8,debit
2026-M05,BR-002,ACCT-000041,610275,261.59,debit
2026-M05,BR-002,ACCT-000041,221130,688.39,credit
2026-M05,BR-004,ACCT-000015,610510,454.97,debit
2026-M05,BR-004,ACCT-000015,610275,278.86,debit
2026-M05,BR-004,ACCT-000015,221130,733.83,credit
2026-M05,BR-006,ACCT-000303,610510,717.72,debit
2026-M05,BR-006,ACCT-000303,610275,439.9,debit
2026-M05,BR-006,ACCT-000303,221130,1157.62,credit
2026-M05,BR-007,ACCT-000249,610510,173.66,debit
2026-M05,BR-007,ACCT-000249,610275,106.44,debit
2026-M05,BR-007,ACCT-000249,221130,280.1,credit
2026-M05,BR-008,ACCT-000333,610510,252.19,debit
2026-M05,BR-008,ACCT-000333,610275,154.56,debit
2026-M05,BR-008,ACCT-000333,221130,406.75,credit
2026-M05,BR-012,ACCT-000316,610510,512.36,debit
2026-M05,BR-012,ACCT-000316,610275,314.02,debit
2026-M05,BR-012,ACCT-000316,221130,826.38,credit
2026-M06,BR-001,ACCT-000265,610510,177.52,debit
2026-M06,BR-001,ACCT-000265,610275,108.81,debit
2026-M06,BR-001,ACCT-000265,221130,286.33,credit
2026-M06,BR-003,ACCT-000300,610510,93.0,debit
2026-M06,BR-003,ACCT-000300,610275,57.0,debit
2026-M06,BR-003,ACCT-000300,221130,150.0,credit
2026-M06,BR-004,ACCT-000077,610510,223.26,debit
2026-M06,BR-004,ACCT-000077,610275,136.83,debit
2026-M06,BR-004,ACCT-000077,221130,360.09,credit
2026-M06,BR-005,ACCT-000016,610510,216.39,debit
2026-M06,BR-005,ACCT-000016,610275,132.63,debit
2026-M06,BR-005,ACCT-000016,221130,349.02,credit
2026-M06,BR-009,ACCT-000357,610510,476.62,debit
2026-M06,BR-009,ACCT-000357,610275,292.12,debit
2026-M06,BR-009,ACCT-000357,221130,768.75,credit
2026-M06,BR-009,ACCT-000142,610510,97.43,debit
2026-M06,BR-009,ACCT-000142,610275,59.71,debit
2026-M06,BR-009,ACCT-000142,221130,157.14,credit
2026-M06,BR-009,ACCT-000357,610510,542.49,debit
2026-M06,BR-009,ACCT-000357,610275,332.49,debit
2026-M06,BR-009,ACCT-000357,221130,874.98,credit
2026-M07,BR-002,ACCT-000299,610510,112.7,debit
2026-M07,BR-002,ACCT-000299,610275,69.08,debit
2026-M07,BR-002,ACCT-000299,221130,181.78,credit
2026-M07,BR-004,ACCT-000105,610510,703.5,debit
2026-M07,BR-004,ACCT-000105,610275,431.17,debit
2026-M07,BR-004,ACCT-000105,221130,1134.67,credit
2026-M07,BR-004,ACCT-000085,610510,93.0,debit
2026-M07,BR-004,ACCT-000085,610275,57.0,debit
2026-M07,BR-004,ACCT-000085,221130,150.0,credit
2026-M07,BR-005,ACCT-000149,610510,96.47,debit
2026-M07,BR-005,ACCT-000149,610275,59.12,debit
2026-M07,BR-005,ACCT-000149,221130,155.59,credit
2026-M07,BR-006,ACCT-000008,610510,680.96,debit
2026-M07,BR-006,ACCT-000008,610275,417.36,debit
2026-M07,BR-006,ACCT-000008,221130,1098.32,credit
2026-M07,BR-007,ACCT-000273,610510,245.02,debit
2026-M07,BR-007,ACCT-000273,610275,150.18,debit
2026-M07,BR-007,ACCT-000273,221130,395.2,credit
2026-M07,BR-011,ACCT-000035,610510,118.55,debit
2026-M07,BR-011,ACCT-000035,610275,72.66,debit
2026-M07,BR-011,ACCT-000035,221130,191.21,credit
2026-M07,BR-012,ACCT-000141,610510,506.9,debit
2026-M07,BR-012,ACCT-000141,610275,310.68,debit
2026-M07,BR-012,ACCT-000141,221130,817.58,credit
2026-M08,BR-001,ACCT-000044,610510,142.61,debit
2026-M08,BR-001,ACCT-000044,610275,87.41,debit
2026-M08,BR-001,ACCT-000044,221130,230.02,credit
2026-M08,BR-003,ACCT-000323,610510,191.88,debit
2026-M08,BR-003,ACCT-000323,610275,117.6,debit
2026-M08,BR-003,ACCT-000323,221130,309.48,credit
2026-M08,BR-003,ACCT-000127,610510,365.92,debit
2026-M08,BR-003,ACCT-000127,610275,224.27,debit
2026-M08,BR-003,ACCT-000127,221130,590.19,credit
2026-M08,BR-005,ACCT-000011,610510,93.0,debit
2026-M08,BR-005,ACCT-000011,610275,57.0,debit
2026-M08,BR-005,ACCT-000011,221130,150.0,credit
2026-M08,BR-007,ACCT-000273,610510,264.66,debit
2026-M08,BR-007,ACCT-000273,610275,162.21,debit
2026-M08,BR-007,ACCT-000273,221130,426.87,credit
2026-M08,BR-008,ACCT-000333,610510,435.51,debit
2026-M08,BR-008,ACCT-000333,610275,266.93,debit
2026-M08,BR-008,ACCT-000333,221130,702.44,credit
2026-M08,BR-010,ACCT-000283,610510,480.1,debit
2026-M08,BR-010,ACCT-000283,610275,294.25,debit
2026-M08,BR-010,ACCT-000283,221130,774.35,credit
2026-M08,BR-010,ACCT-000115,610510,94.45,debit
2026-M08,BR-010,ACCT-000115,610275,57.89,debit
2026-M08,BR-010,ACCT-000115,221130,152.34,credit
2026-M09,BR-005,ACCT-000344,610510,96.22,debit
2026-M09,BR-005,ACCT-000344,610275,58.97,debit
2026-M09,BR-005,ACCT-000344,221130,155.19,credit
2026-M09,BR-007,ACCT-000029,610510,832.08,debit
2026-M09,BR-007,ACCT-000029,610275,509.98,debit
2026-M09,BR-007,ACCT-000029,221130,1342.06,credit
2026-M09,BR-012,ACCT-000060,610510,474.52,debit
2026-M09,BR-012,ACCT-000060,610275,290.84,debit
2026-M09,BR-012,ACCT-000060,221130,765.36,credit
2026-M10,BR-003,ACCT-000300,610510,93.58,debit
2026-M10,BR-003,ACCT-000300,610275,57.35,debit
2026-M10,BR-003,ACCT-000300,221130,150.93,credit
2026-M10,BR-005,ACCT-000324,610510,108.93,debit
2026-M10,BR-005,ACCT-000324,610275,66.77,debit
2026-M10,BR-005,ACCT-000324,221130,175.7,credit
2026-M10,BR-005,ACCT-000036,610510,103.81,debit
2026-M10,BR-005,ACCT-000036,610275,63.62,debit
2026-M10,BR-005,ACCT-000036,221130,167.43,credit
2026-M10,BR-006,ACCT-000276,610510,730.29,debit
2026-M10,BR-006,ACCT-000276,610275,447.59,debit
2026-M10,BR-006,ACCT-000276,221130,1177.88,credit
2026-M10,BR-007,ACCT-000291,610510,433.41,debit
2026-M10,BR-007,ACCT-000291,610275,265.64,debit
2026-M10,BR-007,ACCT-000291,221130,699.05,credit
2026-M10,BR-008,ACCT-000139,610510,217.01,debit
2026-M10,BR-008,ACCT-000139,610275,133.0,debit
2026-M10,BR-008,ACCT-000139,221130,350.01,credit
2026-M10,BR-010,ACCT-000090,610510,484.36,debit
2026-M10,BR-010,ACCT-000090,610275,296.87,debit
2026-M10,BR-010,ACCT-000090,221130,781.23,credit
2026-M10,BR-011,ACCT-000320,610510,316.17,debit
2026-M10,BR-011,ACCT-000320,610275,193.78,debit
2026-M10,BR-011,ACCT-000320,221130,509.95,credit
2026-M10,BR-012,ACCT-000043,610510,291.65,debit
2026-M10,BR-012,ACCT-000043,610275,178.76,debit
2026-M10,BR-012,ACCT-000043,221130,470.41,credit
2026-M11,BR-002,ACCT-000252,610510,93.0,debit
2026-M11,BR-002,ACCT-000252,610275,57.0,debit
2026-M11,BR-002,ACCT-000252,221130,150.0,credit
2026-M11,BR-003,ACCT-000103,610510,93.0,debit
2026-M11,BR-003,ACCT-000103,610275,57.0,debit
2026-M11,BR-003,ACCT-000103,221130,150.0,credit
2026-M11,BR-006,ACCT-000088,610510,195.85,debit
2026-M11,BR-006,ACCT-000088,610275,120.03,debit
2026-M11,BR-006,ACCT-000088,221130,315.88,credit
2026-M11,BR-007,ACCT-000212,610510,440.37,debit
2026-M11,BR-007,ACCT-000212,610275,269.91,debit
2026-M11,BR-007,ACCT-000212,221130,710.28,credit
2026-M11,BR-010,ACCT-000293,610510,102.52,debit
2026-M11,BR-010,ACCT-000293,610275,62.84,debit
2026-M11,BR-010,ACCT-000293,221130,165.36,credit
2026-M11,BR-011,ACCT-000104,610510,93.0,debit
2026-M11,BR-011,ACCT-000104,610275,57.0,debit
2026-M11,BR-011,ACCT-000104,221130,150.0,credit
2026-M12,BR-001,ACCT-000019,610510,148.91,debit
2026-M12,BR-001,ACCT-000019,610275,91.27,debit
2026-M12,BR-001,ACCT-000019,221130,240.18,credit
2026-M12,BR-003,ACCT-000144,610510,392.41,debit
2026-M12,BR-003,ACCT-000144,610275,240.51,debit
2026-M12,BR-003,ACCT-000144,221130,632.92,credit
2026-M12,BR-011,ACCT-000165,610510,530.3,debit
2026-M12,BR-011,ACCT-000165,610275,325.03,debit
2026-M12,BR-011,ACCT-000165,221130,855.33,credit
2026-M12,BR-011,ACCT-000302,610510,269.01,debit
2026-M12,BR-011,ACCT-000302,610275,164.88,debit
2026-M12,BR-011,ACCT-000302,221130,433.89,credit
2026-M12,BR-012,ACCT-000292,610510,258.13,debit
2026-M12,BR-012,ACCT-000292,610275,158.21,debit
2026-M12,BR-012,ACCT-000292,221130,416.34,credit
