review_id,employee_id,manager_id,branch_id,review_period_id,performance_rating,potential_rating,goals_met_pct,review_status
REV-0000028,EMP-000018,EMP-000013,BR-003,2026-Q3,4,4,1.0644,completed
REV-0000029,EMP-000018,EMP-000013,BR-003,2026-Q4,2,3,0.6724,completed
REV-0000030,EMP-000019,,BR-004,2026-Q3,4,3,0.9329,completed
REV-0000031,EMP-000019,,BR-004,2026-Q4,3,3,0.8757,completed
REV-0000032,EMP-000020,EMP-000019,BR-004,2026-Q4,3,2,0.7518,completed
REV-0000033,EMP-000021,EMP-000019,BR-004,2026-Q4,3,4,0.8787,completed
REV-0000034,EMP-000022,EMP-000019,BR-004,2026-Q3,3,3,1.0356,pending_acknowledgement
REV-0000035,EMP-000022,EMP-000019,BR-004,2026-Q4,2,3,0.6109,completed
REV-0000036,EMP-000023,EMP-000019,BR-004,2026-Q3,2,3,0.7312,completed
REV-0000037,EMP-000023,EMP-000019,BR-004,2026-Q4,4,5,1.0201,completed
REV-0000038,EMP-000024,EMP-000019,BR-004,2026-Q4,4,4,0.9022,completed
REV-0000039,EMP-000025,,BR-005,2026-Q4,4,3,0.7341,completed
REV-0000040,EMP-000026,EMP-000025,BR-005,2026-Q3,3,2,0.9028,completed
REV-0000041,EMP-000026,EMP-000025,BR-005,2026-Q4,4,3,0.9053,completed
REV-0000042,EMP-000027,EMP-000025,BR-005,2026-Q3,3,2,0.9291,completed
REV-0000043,EMP-000027,EMP-000025,BR-005,2026-Q4,3,3,0.8737,completed
REV-0000044,EMP-000028,EMP-000025,BR-005,2026-Q4,4,4,0.9651,completed
REV-0000045,EMP-000029,EMP-000025,BR-005,2026-Q4,3,3,1.0362,completed
REV-0000046,EMP-000030,EMP-000025,BR-005,2026-Q4,3,3,0.9646,completed
REV-0000047,EMP-000031,,BR-006,2026-Q4,5,5,1.0205,completed
REV-0000048,EMP-000032,EMP-000031,BR-006,2026-Q4,4,3,1.0317,calibrated
REV-0000049,EMP-000033,EMP-000031,BR-006,2026-Q4,3,3,0.8656,pending_acknowledgement
REV-0000050,EMP-000034,EMP-000031,BR-006,2026-Q4,3,3,0.7943,completed
REV-0000051,EMP-000035,EMP-000031,BR-006,2026-Q3,3,3,0.9175,completed
REV-0000052,EMP-000035,EMP-000031,BR-006,2026-Q4,3,3,0.8306,completed
REV-0000053,EMP-000036,EMP-000031,BR-006,2026-Q3,3,2,0.9207,completed
REV-0000054,EMP-000036,EMP-000031,BR-006,2026-Q4,4,3,0.7261,completed
REV-0000055,EMP-000037,,BR-007,2026-Q4,4,4,0.8242,completed
REV-0000056,EMP-000038,EMP-000037,BR-007,2026-Q3,4,5,0.9571,completed
REV-0000057,EMP-000038,EMP-000037,BR-007,2026-Q4,3,2,0.7879,completed
REV-0000058,EMP-000039,EMP-000037,BR-007,2026-Q3,3,3,0.7678,completed
REV-0000059,EMP-000039,EMP-000037,BR-007,2026-Q4,3,3,0.7196,completed
REV-0000060,EMP-000040,EMP-000037,BR-007,2026-Q4,3,3,0.6689,completed
REV-0000061,EMP-000041,EMP-000037,BR-007,2026-Q4,2,2,0.8141,completed
REV-0000062,EMP-000042,EMP-000037,BR-007,2026-Q4,3,2,0.7958,calibrated
REV-0000063,EMP-000043,,BR-008,2026-Q3,3,3,0.7284,completed
REV-0000064,EMP-000043,,BR-008,2026-Q4,4,3,1.0307,completed
REV-0000065,EMP-000044,EMP-000043,BR-008,2026-Q4,3,4,0.8446,completed
REV-0000066,EMP-000045,EMP-000043,BR-008,2026-Q4,3,2,0.9336,completed
REV-0000067,EMP-000046,EMP-000043,BR-008,2026-Q4,3,2,0.808,completed
REV-0000068,EMP-000047,EMP-000043,BR-008,2026-Q4,3,3,0.8427,completed
REV-0000069,EMP-000048,EMP-000043,BR-008,2026-Q4,4,4,0.8801,completed
REV-0000070,EMP-000049,,BR-009,2026-Q4,4,5,1.0504,completed
REV-0000071,EMP-000050,EMP-000049,BR-009,2026-Q4,3,4,0.8858,completed
REV-0000072,EMP-000051,EMP-000049,BR-009,2026-Q3,3,3,0.7716,completed
REV-0000073,EMP-000051,EMP-000049,BR-009,2026-Q4,4,4,0.9654,completed
REV-0000074,EMP-000052,EMP-000049,BR-009,2026-Q4,2,1,0.7901,completed
REV-0000075,EMP-000053,EMP-000049,BR-009,2026-Q3,4,4,1.009,calibrated
REV-0000076,EMP-000053,EMP-000049,BR-009,2026-Q4,3,3,0.8645,completed
REV-0000077,EMP-000054,EMP-000049,BR-009,2026-Q4,4,3,0.918,pending_acknowledgement
REV-0000078,EMP-000055,,BR-010,2026-Q3,4,4,0.956,completed
REV-0000079,EMP-000055,,BR-010,2026-Q4,4,3,0.9485,completed
REV-0000080,EMP-000056,EMP-000055,BR-010,2026-Q4,3,4,0.8473,completed
REV-0000081,EMP-000057,EMP-000055,BR-010,2026-Q4,4,4,0.8975,completed
REV-0000082,EMP-000058,EMP-000055,BR-010,2026-Q3,3,4,0.9088,completed
REV-0000083,EMP-000058,EMP-000055,BR-010,2026-Q4,3,3,0.8244,completed
REV-0000084,EMP-000059,EMP-000055,BR-010,2026-Q3,2,2,0.7358,completed
REV-0000085,EMP-000059,EMP-000055,BR-010,2026-Q4,3,2,0.9249,completed
REV-0000086,EMP-000060,EMP-000055,BR-010,2026-Q3,3,3,0.8925,completed
REV-0000087,EMP-000060,EMP-000055,BR-010,2026-Q4,3,3,0.8639,completed
REV-0000088,EMP-000061,,BR-011,2026-Q3,5,5,1.0083,calibrated
REV-0000089,EMP-000061,,BR-011,2026-Q4,4,3,1.0474,completed
REV-0000090,EMP-000062,EMP-000061,BR-011,2026-Q4,3,4,0.874,calibrated
REV-0000091,EMP-000063,EMP-000061,BR-011,2026-Q4,3,2,0.9194,completed
REV-0000092,EMP-000064,EMP-000061,BR-011,2026-Q3,2,3,0.7763,completed
REV-0000093,EMP-000064,EMP-000061,BR-011,2026-Q4,3,4,0.9587,completed
REV-0000094,EMP-000065,EMP-000061,BR-011,2026-Q4,2,1,0.7665,completed
REV-0000095,EMP-000066,EMP-000061,BR-011,2026-Q4,3,3,0.7995,completed
REV-0000096,EMP-000067,,BR-012,2026-Q3,4,4,0.9494,completed
REV-0000097,EMP-000067,,BR-012,2026-Q4,4,3,0.9412,completed
REV-0000098,EMP-000068,EMP-000067,BR-012,2026-Q4,3,3,0.8605,completed
REV-0000099,EMP-000069,EMP-000067,BR-012,2026-Q4,4,4,0.9606,completed
REV-0000100,EMP-000070,EMP-000067,BR-012,2026-Q4,3,4,0.7923,completed
REV-0000101,EMP-000071,EMP-000067,BR-012,2026-Q4,3,3,0.9084,pending_acknowledgement
REV-0000102,EMP-000072,EMP-000067,BR-012,2026-Q4,3,3,0.7808,completed
